WBANNO,LST_DATE,CRX_VN,LONGITUDE,LATITUDE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_MEAN,T_DAILY_AVG,P_DAILY_CALC,SOLARAD_DAILY,SUR_TEMP_DAILY_TYPE,SUR_TEMP_DAILY_MAX,SUR_TEMP_DAILY_MIN,SUR_TEMP_DAILY_AVG,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG,SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_10_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,SOIL_MOISTURE_100_DAILY,SOIL_TEMP_5_DAILY,SOIL_TEMP_10_DAILY,SOIL_TEMP_20_DAILY,SOIL_TEMP_50_DAILY,SOIL_TEMP_100_DAILY
53974,20031001,1.201,-96.61,39.1,-9999,-9999,-9999,-9999,-9999,-9999,U,-9999,-9999,-9999,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031002,1.201,-96.61,39.1,18.9,2.5,10.7,11.7,0,16.72,R,-9999,-9999,13.7,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031003,1.201,-96.61,39.1,22.6,8.1,15.4,14.8,0,12.55,R,-9999,-9999,16.1,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031004,1.201,-96.61,39.1,22.6,3.8,13.2,14,0,16.9,R,-9999,-9999,15.9,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031005,1.201,-96.61,39.1,25,10.6,17.8,17.3,0,18.63,R,-9999,-9999,19.2,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031006,1.201,-96.61,39.1,25.2,8.9,17.1,17.1,0,18.43,R,-9999,-9999,19.3,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031007,1.201,-96.61,39.1,26,12.5,19.3,18.8,0,18.29,R,-9999,-9999,20.2,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031008,1.201,-96.61,39.1,23.3,16.4,19.9,18.3,14.8,4.58,R,-9999,-9999,17.5,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031009,1.201,-96.61,39.1,24.1,11.2,17.7,17.3,0,15.56,R,-9999,-9999,18.7,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031010,1.201,-96.61,39.1,20.5,15,17.8,16.8,0,7.74,R,-9999,-9999,17.7,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031011,1.201,-96.61,39.1,19.4,4.6,12,15,6.5,9.01,R,-9999,-9999,14.8,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031012,1.201,-96.61,39.1,21.6,1.5,11.6,11.8,0,18.25,R,-9999,-9999,13.4,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031013,1.201,-96.61,39.1,23.1,6.3,14.7,12.9,5.3,5.9,R,-9999,-9999,13.1,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53974,20031014,1.201,-96.61,39.1,20.3,5,12.7,11.6,0,17.35,R,-9999,-9999,12,-9999,-9999,-9999,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
