name,lat,lon
Ashland Bottoms,39.1258,-96.6365
Butler,37.8043,-96.8831
Cherokee,37.199,-94.9809
Cheyenne,39.6333,-101.8153
Clay,39.418,-97.1398
Colby,39.3925,-101.0686
Garden City,37.9929,-100.8122
Grant,37.6496,-101.3664
Gray,37.7916,-100.2973
Gypsum,38.7252,-97.4442
Hamilton,37.9764,-101.769
Harper,37.0648,-98.0847
Haskell,37.6592,-101.0267
Hays,38.8495,-99.3446
Haysville,37.5198,-97.3121
Hiawatha,39.8424,-95.4819
Hill City,39.372,-99.8305
Hodgeman,38.1007,-99.9016
Hutchinson 10SW,37.931,-98.0272
Jewell,39.6834,-98.2131
La Crosse,38.541,-99.2805
Lake City,37.31,-98.79
Lakin,37.8937,-101.2326
Lane,38.5088,-100.6147
Leoti,38.4834,-101.3277
Lorraine,38.558,-98.352
Manhattan,39.2086,-96.5917
Meade,37.1348,-100.3957
Miami,38.5923,-94.8479
Mitchell,39.4373,-98.2101
Ness City,38.3861,-99.8555
Olathe,38.883,-94.9911
Osage,38.697,-95.6086
Osborne,39.4544,-98.7035
Ottawa,38.5391,-95.2481
Parsons,37.3688,-95.2877
Richfield,37.2587,-101.792
Rock Springs,38.867,-96.9029
Rocky Ford,39.2316,-96.5805
Rossville,39.1164,-95.926
Satanta,37.3054,-100.8872
Scandia,39.8286,-97.8389
Sedan,37.165,-96.2289
Sheridan,39.3575,-100.6082
Sherman,39.2813,-101.8194
Silver Lake,39.0779,-95.7708
Spearville,37.9025,-99.8695
St John,37.9571,-98.7481
Stanton,37.6141,-101.728
Stevens,37.3519,-101.3555
Tribune,38.5304,-101.6643
Tribune 6NE,38.4662,-101.7752
Viola,37.4597,-97.6247
Wallace,38.8198,-101.853
Washington,39.7812,-97.0598
Woodson,37.8612,-95.7836
