uid,namedLocation,domainID,siteID,plotID,plotType,pointID,startDate,eventID,pointCountMinute,targetTaxaPresent,taxonID,scientificName,taxonRank,vernacularName,family,nativeStatusCode,observerDistance,detectionMethod,visualConfirmation,sexOrAge,clusterSize,clusterCode,identifiedBy
197678cc-d1f0-44e6-ab11-ff70a7cb0996,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],3,Y,NOBO,Colinus virginianus,species,Northern Bobwhite,Odontophoridae,N,97,singing,No,Unknown,1,,BIREK
7f611fc0-d22f-4e66-898f-4c37caf5bd38,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],1,Y,GRSP,Ammodramus savannarum,species,Grasshopper Sparrow,Emberizidae,N,65,singing,No,Unknown,1,,BIREK
16e4fb36-6e04-4222-ad71-6b646f3ee855,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],3,Y,BHCO,Molothrus ater,species,Brown-headed Cowbird,Icteridae,N,54,calling,No,Unknown,1,,BIREK
5935061b-10a6-4d27-bea1-743e9d183b79,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],1,Y,CONI,Chordeiles minor,species,Common Nighthawk,Caprimulgidae,N,194,calling,Yes,Unknown,1,,BIREK
24f13184-7a05-4b86-b9c2-9a069ac02f29,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],6,Y,BRTH,Toxostoma rufum,species,Brown Thrasher,Mimidae,N,70,visual,Yes,Unknown,1,,BIREK
05031c5b-5ca6-4bbb-b97f-d6c711bd9422,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],2,Y,BEVI,Vireo bellii,species,Bell's Vireo,Vireonidae,N,76,singing,No,Unknown,1,,BIREK
9c950cb9-91ad-4645-a840-783bd5bba54f,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],1,Y,DICK,Spiza americana,species,Dickcissel,Cardinalidae,N,94,singing,No,Unknown,1,,BIREK
d37c8211-e7f6-4a6e-ae95-c1259e7367ad,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],5,Y,YBCU,Coccyzus americanus,species,Yellow-billed Cuckoo,Cuculidae,N,84,singing,No,Unknown,1,,BIREK
c9b82365-5b43-4360-aca8-21a2ba1fd9e9,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],4,Y,FISP,Spizella pusilla,species,Field Sparrow,Emberizidae,N,199,singing,No,Unknown,1,,BIREK
4d33bba2-f2ab-4d0b-8a34-a23c9ca9abaa,KONZ_007.birdGrid.brd,D06,KONZ,KONZ_007,distributed,A1,2018-05-24T11:01Z,KONZ_007.A1.2018-05-24T06:01-05:00[US/Central],1,Y,EAME,Sturnella magna,species,Eastern Meadowlark,Icteridae,N,124,singing,No,Unknown,1,,BIREK
