network,state,county,site_name,start,lat,lon,elev
SCAN,AK,Bethel,Aniak,2002,61.58,-159.58,80
SCAN,AK,Bethel,Canyon Lake,2014,59.42,-161.16,550
SCAN,AK,Nome,Checkers Creek,2014,65.4,-164.71,326
SCAN,AK,Yukon-koyukuk,Hozatka Lake,2014,65.2,-156.63,206
SCAN,AK,Yukon-koyukuk,Innoko Camp,2014,63.64,-158.03,83
SCAN,AK,Kusilvak,Kanaryagak Camp,2013,61.36,-165.12,13
SCAN,AK,Yukon-koyukuk,Kanuti Lake,2014,66.18,-151.74,524
SCAN,AK,Dillingham,Lower Mulchatna,2012,59.82,-156.99,320
SCAN,AK,Kenai Cook Inlet,Moose Inc,2002,59.68,-151.37,132
SCAN,AK,Bristol Bay,Naknek River,2013,58.67,-156.57,100
SCAN,AK,Yukon-koyukuk,Nenana,2002,64.69,-148.91,415
SCAN,AK,Kenai Peninsula,Schor Garden,2002,59.68,-151.38,393
SCAN,AK,Southeast Fairbanks,Tok,2002,63.35,-142.98,1630
SCAN,AK,Nome,Unalakleet,2015,63.91,-160.75,290
SCAN,AK,Dillingham,Weary Lake,2012,59.13,-159.09,100
SCAN,AL,Madison,AAMU-JTG,2002,34.78,-86.55,860
SCAN,AL,Madison,Bragg Farm,2003,34.89,-86.6,798
SCAN,AL,Montgomery,Broad Acres,2010,32.28,-86.05,269
SCAN,AL,Cullman,Cullman-NAHRC,2006,34.19,-86.8,799
SCAN,AL,Pickens,Dee River Ranch,2010,33.11,-88.31,160
SCAN,AL,Marshall,Hodges,2002,34.45,-86.15,730
SCAN,AL,Colbert,Isbell Farms,2010,34.82,-87.99,603
SCAN,AL,Baldwin,Koptis Farms,2010,30.52,-87.7,135
SCAN,AL,Sumter,Livingston-UWA,2006,32.61,-88.2,144
SCAN,AL,Macon,Morris Farms,2010,32.41,-85.91,220
SCAN,AL,Escambia,Perdido Riv Farms,2010,31.11,-87.55,299
SCAN,AL,Houston,River Road Farms,2010,31.02,-85.04,107
SCAN,AL,Dallas,Selma,2010,32.4,-86.89,140
SCAN,AL,Morgan,Stanley Farm,2002,34.43,-86.68,635
SCAN,AL,Winston,Sudduth Farms,2010,34.18,-87.46,772
SCAN,AL,Macon,Tuskegee,2006,32.43,-85.75,400
SCAN,AL,Randolph,Wedowee,2010,33.33,-85.52,934
SCAN,AL,Madison,Wtars,2002,34.9,-86.53,625
SCAN,AR,Jefferson,Uapb Campus-PB,2004,34.25,-92.03,232
SCAN,AR,Arkansas,Uapb Dewitt,2004,34.28,-91.35,197
SCAN,AR,Pope,Uapb Point Remove,2004,35.21,-92.92,315
SCAN,AR,Crittenden,Uapb-Earle,2004,35.28,-90.45,213
SCAN,AR,Lonoke,Uapb-Lonoke Farm,1999,34.85,-91.88,250
SCAN,AR,Lee,Uapb-Marianna,2004,34.78,-90.82,217
SCAN,AZ,Cochise,Walnut Gulch #1,1999,31.73,-110.05,4500
SCAN,CA,Lassen,Ash Valley,2014,41.05,-120.69,5097
SCAN,CA,Mono,Bodie Hills,2014,38.26,-119.13,7825
SCAN,CA,San Luis Obispo,Cochora Ranch,2012,35.12,-119.6,2697
SCAN,CA,Inyo,Death Valley Jct,2012,36.33,-116.35,2062
SCAN,CA,Inyo,Deep Springs,2011,37.37,-117.97,5399
SCAN,CA,Riverside,Desert Center,2011,33.8,-115.31,556
SCAN,CA,Mono,Doe Ridge,2012,37.63,-118.83,7340
SCAN,CA,Lassen,Eagle Lake,2012,40.62,-120.72,5134
SCAN,CA,San Bernardino,Essex,2011,34.67,-115.17,2644
SCAN,CA,Riverside,Ford Dry Lake,2011,33.65,-115.1,394
SCAN,CA,Shasta,French Gulch,2014,40.79,-122.55,3704
SCAN,CA,Mono,Marble Creek,2009,37.78,-118.42,6183
SCAN,CA,Fresno,Monocline Ridge,2014,36.54,-120.55,875
SCAN,CA,San Bernardino,Shadow Mtns,2011,35.47,-115.72,3643
SCAN,CA,San Luis Obispo,Stubblefield,2014,34.97,-119.48,2995
SCAN,CO,Weld,CPER,2013,40.82,-104.71,5330
SCAN,CO,Weld,Nunn #1,1993,40.87,-104.73,5900
SCAN,FL,Dade,Everglades ARS,1999,25.5,-80.55,9
SCAN,FL,Lake,Sellers Lake #1,1994,29.1,-81.63,75
SCAN,FL,Leon,Wakulla #1,1993,30.3,-84.42,150
SCAN,GA,Tift,Little River,1999,31.5,-83.55,350
SCAN,GA,Oconee,Watkinsville #1,1993,33.88,-83.43,770
SCAN,HI,Hawaii,Island Dairy,2005,20,-155.29,1160
SCAN,HI,Hawaii,Kainaliu,2005,19.53,-155.93,1364
SCAN,HI,Hawaii,Kemole Gulch,2005,19.91,-155.59,4163
SCAN,HI,Hawaii,Kukuihaele,2005,20.1,-155.51,947
SCAN,HI,Hawaii,Mana House,2005,19.96,-155.54,4234
SCAN,HI,Hawaii,Pua Akala,2005,19.79,-155.33,6394
SCAN,HI,Hawaii,Silver Sword,2005,19.77,-155.42,9324
SCAN,HI,Hawaii,Waimea Plain,2005,20.01,-155.6,3039
SCAN,IA,Boone,Ames,2001,42.02,-93.73,1073
SCAN,IA,Woodbury,Shagbark Hills,2002,42.43,-95.77,1400
SCAN,ID,Owyhee,Jordan Valley Cwma,2008,42.95,-117.01,4508
SCAN,ID,Ada,Orchard Range Site,1983,43.32,-116,3200
SCAN,IL,Mason,Mason #1,1993,40.32,-89.9,570
SCAN,KS,Cowley,Abrams,2004,37.13,-97.09,1194
SCAN,KS,Nemaha,Centralia Lake,2004,39.7,-96.16,1302
SCAN,KS,Jefferson,Ku-Nesa,2008,39.05,-95.19,1102
SCAN,KS,Phillips,Phillipsburg,2004,39.79,-99.33,1986
SCAN,KY,Hart,Mammoth Cave,2003,37.19,-86.04,800
SCAN,KY,Caldwell,Princeton #1,1993,37.1,-87.83,615
SCAN,MD,Prince George's,Powder Mill,2001,39.02,-76.85,105
SCAN,MN,Sherburne,Crescent Lake #1,1993,45.42,-93.95,980
SCAN,MN,Polk,Glacial Ridge,2001,47.72,-96.27,1125
SCAN,MO,Boone,CMRB LTAR-MO,2014,39.23,-92.12,852
SCAN,MO,Stoddard,Dexter,2001,36.78,-89.93,305
SCAN,MO,Lincoln,Elsberry PMC,2015,39.15,-90.78,453
SCAN,MO,Douglas,Journagan Ranch,2012,37,-92.26,1106
