Date,DOY,TMAX,TMIN,RAIN,HMAX,HMIN,ATOT,W2AVG,ETgrass
1/1/05 0:00,1,21.16111111,14.27222222,0,97.5,65.97,4.09,5.194591889,1.97693974
1/2/05 0:00,2,21.26111111,4.794444444,0,99.3,77.37,4.11,3.428788278,1.302427491
1/3/05 0:00,3,5.855555556,3.477777778,2.54,99.8,98.2,2.98,3.249972722,0.349412602
1/4/05 0:00,4,4.644444444,0.883333333,7.62,99.6,98.5,1.21,3.527136833,0.288801728
1/5/05 0:00,5,0.827777778,-9.172222222,24.13,99.4,86.8,1.65,NaN,0.367956371
1/6/05 0:00,6,-1.45,-11.08888889,1.27,92.3,79.05,9.46,NaN,0.49990829
1/7/05 0:00,7,8.488888889,-5.105555556,1.524,93.6,62.2,9.03,NaN,0.99928239
1/8/05 0:00,8,11.1,-5.827777778,0,97.2,56.38,11.73,3.469021778,1.487267741
1/9/05 0:00,9,19.37222222,5.155555556,0,93.8,47.61,10.91,4.7877865,2.771170383
1/10/05 0:00,10,19.08888889,10.86111111,0,99.4,73.35,4.9,4.273691778,1.450751847
1/11/05 0:00,11,16.11111111,-0.133333333,0,99.2,72.57,3.09,2.110023556,1.028132877
1/12/05 0:00,12,18.08888889,0.366666667,0.508,99.7,43.97,2.87,4.076994667,2.464105556
1/13/05 0:00,13,8.088888889,-4.072222222,0,90.9,34.17,12.86,4.130639333,1.926354972
1/14/05 0:00,14,2.977777778,-6.016666667,0,93.2,61.36,9.65,2.114493944,0.848974911
1/15/05 0:00,15,-1.283333333,-7.583333333,0,90.5,66.2,9.66,3.938412611,0.768562034
1/16/05 0:00,16,-0.905555556,-9.7,0,88.5,41.62,12.71,3.165035333,1.051921548
1/17/05 0:00,17,4.422222222,-9.527777778,0,86.8,40.44,12.21,0.929840889,0.893101222
1/18/05 0:00,18,6.988888889,-4.383333333,0,89.1,47.95,10.29,3.723833944,1.50961039
1/19/05 0:00,19,15.78888889,-1.066666667,0,93.8,44.87,10.72,1.859681778,1.713998994
1/20/05 0:00,20,22.9,-1.022222222,0,98.3,32.28,12.96,1.743451667,2.482260941
1/21/05 0:00,21,24.33888889,1.455555556,0,96.8,28.77,10.63,1.864152167,2.728369196
1/22/05 0:00,22,12.22222222,-5.455555556,0,82,30.15,13.48,6.343481833,3.071431217
1/23/05 0:00,23,5.05,-10.57222222,0,82.7,30.3,13.59,2.503417778,1.513877103
1/24/05 0:00,24,16.57777778,-1.838888889,0,67.18,27.83,11.47,3.799830556,3.229783128
1/25/05 0:00,25,21.38888889,5.877777778,0,87.8,36.5,13.54,3.160564944,3.097497941
1/26/05 0:00,26,16.67222222,4.244444444,0,91.6,34.49,12.7,3.2589135,2.628228232
1/27/05 0:00,27,5.633333333,3.005555556,0.254,85.5,69.34,3.4,2.9370455,1.009527459
1/28/05 0:00,28,3.833333333,0.277777778,9.398,99.4,80.2,1.8,1.913326444,0.552525618
1/29/05 0:00,29,3.955555556,0.427777778,0,99.4,82.1,3.46,1.332175889,0.569106237
1/30/05 0:00,30,1.683333333,-0.783333333,1.778,98.5,89.6,1.3,1.636162333,0.416261782
1/31/05 0:00,31,3.383333333,0.416666667,0.254,98.8,82.2,2.88,2.306720667,0.569551219
2/1/05 0:00,32,3.966666667,0,1.524,99,76.68,2.63,2.440832333,0.643712091
2/2/05 0:00,33,5.683333333,-1.361111111,6.096,99.3,71.05,5.16,2.490006611,0.827925823
2/3/05 0:00,34,14.03888889,-4.905555556,0,98.1,38.01,15.12,0.916429722,1.518408809
2/4/05 0:00,35,15.42222222,-0.733333333,0,94.6,37.38,13.06,2.177079389,2.141167821
2/5/05 0:00,36,15.05,2.083333333,4.318,97.4,42.1,10.46,3.714893167,2.36235657
2/6/05 0:00,37,14.41111111,6.516666667,16.764,99.4,76.01,3.83,3.249972722,1.097181228
2/7/05 0:00,38,7.794444444,0.666666667,0,98.2,71.74,7.11,3.428788278,1.038321864
2/8/05 0:00,39,5.488888889,-0.511111111,0.508,98.9,85.3,3.45,2.333543,0.596969076
2/9/05 0:00,40,7.288888889,-5.461111111,0,98.5,44.8,15.47,3.294676611,1.681661276
2/10/05 0:00,41,15.87222222,-3.072222222,0,90.4,26.04,13.88,2.163668222,2.508286851
2/11/05 0:00,42,14.78888889,4.594444444,0,68.5,36.04,9.04,2.995160556,2.626206744
2/12/05 0:00,43,13.11111111,8.027777778,2.032,99.4,59.79,2.89,5.015776333,1.61489601
2/13/05 0:00,44,22.25,7.455555556,0,97,32.11,14.99,3.920531056,3.829053404
2/14/05 0:00,45,25.03888889,2.522222222,0,89.3,25.29,15.48,4.139580111,4.900016333
2/15/05 0:00,46,18.06111111,7.827777778,0,80.5,38.97,15.84,4.564267056,3.535582304
2/16/05 0:00,47,11.33888889,2.777777778,0,70.44,32.19,13.45,4.684967556,2.970213101
2/17/05 0:00,48,10.47222222,2.65,0,80.3,41.12,10.49,1.618280778,1.71220042
2/18/05 0:00,49,11,0.127777778,3.556,97.7,38.04,5.69,1.662984667,1.480500499
2/19/05 0:00,50,13.55,5.166666667,0.254,98.1,85.8,5.09,5.780212833,0.971414766
2/20/05 0:00,51,24.46111111,12.77222222,0,97,32.83,17.11,5.248236556,4.760284805
2/21/05 0:00,52,16.7,4.972222222,0,97,39.97,16.06,2.440832333,2.593891397
2/22/05 0:00,53,17.88888889,1.977777778,6.096,99.3,57.37,14.71,2.543651278,2.250592257
2/23/05 0:00,54,7.327777778,3.594444444,1.016,99.3,96.8,2.11,3.889238333,0.417008447
2/24/05 0:00,55,11.16111111,0.377777778,0,98.5,53.8,17.32,3.701482,2.074799115
2/25/05 0:00,56,15.21111111,-2.766666667,0,98.6,36.44,14.27,0.791258833,1.779690071
2/26/05 0:00,57,13.82777778,4.605555556,4.318,98.2,46.85,7.49,2.190490556,1.784097787
2/27/05 0:00,58,8.972222222,2.461111111,6.858,99,76.86,4.19,1.528873,0.850413914
