RecordNum,Date Time_UTC,PTB110_mb,T_CS215,RH_CS215,N1Cts,N2Cts,N3Cts,N4Cts,N5Cts,N6Cts,N7Cts,N8Cts,LatDec,LongDec,Alt_meters,Speed_kmh
1, 2017/08/10 13:15:00,973.29,21.7,85.2,35,40,37,42,39,45,33,37,38.68208,-97.37201,389.3,0
2, 2017/08/10 13:16:00,973.31,21.7,86.9,44,44,39,36,37,36,38,38,38.68213,-97.37201,389.5,0
3, 2017/08/10 13:17:00,973.25,21.6,86.9,38,37,47,32,42,30,42,41,38.68213,-97.37201,389.5,0
4, 2017/08/10 13:18:00,972.55,20.4,89.4,38,46,42,39,34,42,36,36,38.68692,-97.37201,391.3,51.28
5, 2017/08/10 13:19:00,972.68,19.6,94.8,36,39,39,42,30,29,43,36,38.69318,-97.37199,391.3,37.98
6, 2017/08/10 13:20:00,972.1,19.5,96.2,34,35,36,47,41,45,47,40,38.69913,-97.37199,400.3,41.47
7, 2017/08/10 13:21:00,972.9,19.4,96.9,35,37,40,37,34,30,37,42,38.70514,-97.37201,395.2,31.95
8, 2017/08/10 13:22:00,972.18,19.5,97.3,41,41,43,42,41,43,42,46,38.71088,-97.37201,397.9,41.41
9, 2017/08/10 13:23:00,972.98,19.6,97.5,40,45,35,25,40,43,48,36,38.71677,-97.37199,396.2,36.74
10, 2017/08/10 13:24:00,972.71,19.6,97.7,41,42,46,45,33,39,34,39,38.7229,-97.37199,395.6,38.89
11, 2017/08/10 13:25:00,972.56,19.7,97.8,46,45,50,36,34,44,32,36,38.72843,-97.37197,399.1,35.34
12, 2017/08/10 13:26:00,971.67,19.6,97.9,38,38,43,38,32,34,35,41,38.73433,-97.37195,406.1,42.06
13, 2017/08/10 13:27:00,970.59,19.6,97.9,38,43,32,43,30,34,32,44,38.74023,-97.37197,415.9,37.58
14, 2017/08/10 13:28:00,971.43,19.7,98.1,42,36,32,44,34,41,37,38,38.74613,-97.37196,408.1,42.78
15, 2017/08/10 13:29:00,970.91,19.7,98.2,39,48,38,39,48,46,35,37,38.7524,-97.37195,408,41.69
