station,time_cst,T5cm,T10cm,T20cm,T30cm,T40cm,T50cm,T60cm,T80cm,T100cm,T125cm,T150cm,T175cm,T200cm,T225cm
Fargo,1/1/16 0:00,-3.017,-2.261,-1.09,-0.104,0.811,1.681,2.525,3.899,4.893,5.885,6.697,7.37,7.933,8.36
Fargo,1/1/16 1:00,-3.138,-2.347,-1.125,-0.121,0.803,1.673,2.534,3.899,4.894,5.894,6.706,7.362,7.942,8.37
Fargo,1/1/16 2:00,-3.126,-2.37,-1.13,-0.118,0.806,1.685,2.545,3.919,4.931,5.94,6.743,7.408,7.944,8.38
Fargo,1/1/16 3:00,-3.238,-2.456,-1.172,-0.16,0.772,1.642,2.503,3.86,4.854,5.846,6.657,7.306,7.919,8.36
Fargo,1/1/16 4:00,-3.169,-2.439,-1.164,-0.144,0.797,1.676,2.545,3.91,4.921,5.93,6.741,7.397,7.925,8.37
Fargo,1/1/16 5:00,-3.122,-2.419,-1.153,-0.133,0.799,1.686,2.546,3.894,4.896,5.897,6.699,7.355,7.926,8.37
Fargo,1/1/16 6:00,-3.03,-2.387,-1.148,-0.137,0.795,1.682,2.542,3.898,4.909,5.918,6.737,7.402,7.912,8.35
Fargo,1/1/16 7:00,-2.991,-2.374,-1.161,-0.141,0.8,1.678,2.538,3.886,4.888,5.896,6.707,7.355,7.917,8.36
Fargo,1/1/16 8:00,-2.913,-2.305,-1.144,-0.141,0.782,1.652,2.495,3.842,4.845,5.853,6.673,7.337,7.882,8.32
Fargo,1/1/16 9:00,-2.915,-2.29,-1.103,-0.091,0.84,1.71,2.553,3.866,4.825,5.8,6.602,7.284,7.965,8.39
Fargo,1/1/16 10:00,-2.883,-2.275,-1.097,-0.069,0.871,1.758,2.618,3.947,4.915,5.889,6.691,7.398,8.02,8.47
Fargo,1/1/16 11:00,-2.764,-2.235,-1.1,-0.081,0.867,1.762,2.639,3.968,4.944,5.927,6.745,7.444,8.02,8.48
Fargo,1/1/16 12:00,-2.55,-2.116,-1.06,-0.05,0.898,1.793,2.678,3.991,4.966,5.965,6.784,7.482,8.04,8.51
Fargo,1/1/16 13:00,-2.342,-2.03,-1.035,-0.05,0.889,1.784,2.661,3.973,4.94,5.93,6.749,7.43,8.03,8.49
Fargo,1/1/16 14:00,-2.146,-1.895,-0.995,-0.037,0.894,1.772,2.639,3.951,4.918,5.892,6.702,7.375,8.03,8.47
Fargo,1/1/16 15:00,-1.961,-1.753,-0.94,-0.016,0.897,1.757,2.616,3.92,4.869,5.843,6.636,7.3,8.02,8.46
Fargo,1/1/16 16:00,-1.877,-1.652,-0.925,-0.01,0.886,1.73,2.563,3.875,4.817,5.773,6.558,7.205,8,8.41
Fargo,1/1/16 17:00,-1.974,-1.688,-0.97,-0.089,0.781,1.625,2.45,3.771,4.713,5.67,6.446,7.119,7.902,8.29
Fargo,1/1/16 18:00,-2.24,-1.771,-0.992,-0.111,0.769,1.613,2.447,3.794,4.771,5.762,6.573,7.238,7.91,8.32
Fargo,1/1/16 19:00,-2.48,-1.872,-1.024,-0.159,0.73,1.574,2.409,3.765,4.734,5.726,6.537,7.202,7.883,8.28
Fargo,1/1/16 20:00,-2.722,-2.019,-1.057,-0.166,0.723,1.585,2.429,3.803,4.797,5.789,6.601,7.266,7.905,8.32
Fargo,1/1/16 21:00,-2.903,-2.121,-1.098,-0.207,0.682,1.544,2.388,3.771,4.757,5.766,6.586,7.269,7.874,8.27
Fargo,1/1/16 22:00,-3.094,-2.243,-1.115,-0.198,0.708,1.579,2.422,3.814,4.808,5.835,6.655,7.32,7.891,8.33
Fargo,1/1/16 23:00,-3.144,-2.309,-1.139,-0.213,0.685,1.555,2.408,3.791,4.794,5.82,6.64,7.323,7.868,8.3
Fargo,1/2/16 0:00,-3.246,-2.394,-1.163,-0.228,0.687,1.558,2.427,3.801,4.813,5.839,6.659,7.325,7.87,8.31
Fargo,1/2/16 1:00,-3.272,-2.42,-1.172,-0.22,0.678,1.557,2.417,3.8,4.82,5.847,6.666,7.349,7.86,8.3
Fargo,1/2/16 2:00,-3.306,-2.48,-1.206,-0.245,0.67,1.54,2.41,3.784,4.795,5.822,6.642,7.307,7.852,8.29
Fargo,1/2/16 3:00,-3.299,-2.499,-1.216,-0.256,0.659,1.53,2.39,3.764,4.776,5.811,6.647,7.33,7.832,8.27
