latitude,longitude,X,Y,sand,clay,L,a,b,textural_class
38.71337,-97.43272,636266.5785,4285928.184,29.5,25.2,40.4,5.1,10.6,Loam
38.71386,-97.43394,636159.5704,4285980.746,44.4,17.5,46,7.9,15.6,Loam
38.71342,-97.436,635981.2897,4285928.857,47.5,12.5,46.3,7.7,15.3,Loam
38.71383,-97.43282,636257.0101,4285979.083,47.1,15.1,42.7,7,13.3,Loam
38.71338,-97.43371,636180.4796,4285927.821,41.3,17.5,46.8,7.2,14.6,Loam
38.7129,-97.43597,635984.8836,4285871.196,25.6,17.5,46.2,6.8,13.9,Silt loam
38.71344,-97.43665,635924.7348,4285930.112,33.1,15,47.6,7.3,14.9,Silt loam
38.7128,-97.43479,636087.6742,4285861.852,20.6,25,37.4,4.7,9.3,Silt loam
38.71387,-97.43455,636106.5127,4285980.949,30.1,17.6,43.9,6.9,14.9,Silt loam
38.71283,-97.43296,636246.7359,4285867.902,26.3,25,44.5,6.3,13.5,Loam
38.71286,-97.43667,635924.0945,4285865.718,36.3,15,47.8,7.7,15.6,Loam
38.71221,-97.43545,636031.4056,4285795.397,16.3,25.4,41.9,5.7,11.3,Silt loam
38.71289,-97.43538,636036.2031,4285870.963,23.2,25.2,42.1,6.1,12.3,Silt loam
38.71341,-97.43539,636034.3478,4285928.654,47.1,12.6,42.3,7.4,14.5,Loam
38.71479,-97.43558,636015.2115,4286081.513,22.6,27.9,40.4,5.7,11.4,Clay loam
38.71387,-97.43565,636010.869,4285979.315,33.9,20.1,34.7,5.3,10.7,Loam
38.71516,-97.43327,636215.3582,4286126.007,34.5,20.1,37.8,5.5,11.3,Loam
38.71337,-97.43307,636236.1462,4285927.663,32,20.1,41.1,5.9,12.1,Loam
38.71337,-97.43478,636087.4627,4285925.121,42.7,15.1,46.5,7.6,16.2,Loam
38.71474,-97.43434,636123.1215,4286077.807,37.7,15.1,49.8,8.4,17.6,Loam
38.71557,-97.43444,636112.8522,4286169.766,42.1,17.6,45.3,7.4,15.4,Loam
38.71426,-97.43385,636166.6368,4286025.269,40.8,15.1,43.1,7,14.6,Loam
38.71474,-97.43313,636228.3282,4286079.606,36.6,17.8,43.5,6.3,13.5,Loam
38.71476,-97.43369,636179.5996,4286080.993,36.3,21.6,43.3,7,14.2,Loam
38.71337,-97.4343,636129.1984,4285925.834,25.6,24.3,45.7,6.8,14.7,Silt loam
38.71522,-97.43554,636017.8743,4286129.291,24.3,25.6,45.5,6.6,13.7,Silt loam
38.71526,-97.43616,635963.8913,4286132.809,12.8,30.9,37.9,5.2,10.5,Silty clay loam
38.71515,-97.43487,636076.2617,4286122.518,33.1,20.3,48.1,7.1,15.6,Loam
38.71476,-97.43499,636066.5675,4286079.061,23.6,26.8,41.6,6.3,13.1,Loam
38.7139,-97.43508,636060.373,4285983.491,44.5,19,44.8,6.7,14.2,Loam
38.71444,-97.43668,635920.2321,4286041.04,14.7,26.8,42.3,6.2,12.6,Silt loam
38.71422,-97.43303,636238.0103,4286022.049,17.3,33.5,40.7,5.2,11,Silty clay loam
38.71439,-97.43613,635968.1483,4286036.308,19.8,26.8,43.4,6.5,13,Silt loam
38.71554,-97.43391,636158.9909,4286167.224,35.3,20,47.4,7.9,15.9,Loam
38.71434,-97.43561,636013.4561,4286031.531,31.8,22.8,42.5,6.3,12.3,Loam
38.71531,-97.43665,635921.1925,4286137.63,17.2,28.1,40.3,5.7,11.3,Silty clay loam
38.71517,-97.43373,636175.3435,4286126.432,37.5,19,49.1,7.7,16.4,Loam
38.71518,-97.43437,636119.6784,4286126.59,44.5,16.5,50.1,8.2,17.2,Loam
38.71426,-97.43439,636119.6847,4286024.466,35,20.3,47.3,7.3,15.4,Loam
38.71487,-97.43662,635924.6344,4286088.847,17.9,26.6,41.6,6,11.7,Silt loam
38.71399,-97.43672,635917.6066,4285991.043,16.6,24.3,44.8,6.7,13.9,Silt loam
38.71558,-97.43507,636058.0568,4286169.939,36.7,23.9,44.6,6.7,13.9,Loam
38.71557,-97.43334,636208.4936,4286171.401,29.9,22.8,43.1,6.1,12.5,Loam
38.71399,-97.43649,635937.6048,4285991.384,17.9,24.1,42,6.1,12.6,Silt loam
38.71428,-97.43497,636069.2167,4286025.824,22.2,22.7,46.1,7.1,14.5,Silt loam
38.71384,-97.43337,636209.1692,4285979.374,32.7,25.8,43.5,6.4,13.6,Loam
38.71234,-97.43359,636192.8874,4285812.588,17.3,32.7,43.9,5.8,11.3,Silty clay loam
38.71236,-97.43301,636243.2808,4285815.67,21.8,28.3,47.2,6.8,14.7,Clay loam
38.71227,-97.43486,636082.5928,4285802.932,19.8,32.2,42.6,5.1,10.3,Silty clay loam
38.7118,-97.43387,636169.5659,4285752.247,19.9,32.4,45.7,6.1,12.8,Silty clay loam
38.71184,-97.43507,636065.1485,4285754.902,26.9,23.2,41.6,5.7,11.3,Loam
38.71181,-97.43565,636014.7736,4285750.711,21.1,25.8,47,6.4,13.7,Silt loam
38.71286,-97.43356,636194.5089,4285870.338,28.2,25.8,43.7,6.2,12.5,Loam
38.71183,-97.43626,635961.6954,4285752.025,32.9,23.4,45.1,7.1,14,Loam
38.71184,-97.43672,635921.6789,4285752.452,31.2,17.8,48.5,7.8,15.4,Silt loam
38.71179,-97.43335,636214.7995,4285751.91,20.6,39.2,47.9,6.1,13.3,Clay loam
38.71133,-97.43392,636166.1101,4285700.015,42,20.3,45.3,7,14.6,Loam
38.71182,-97.43446,636118.2267,4285753.589,22.5,32.4,44,5.8,11.9,Clay loam
38.71132,-97.43567,636013.9633,4285696.305,26.2,24.3,45.3,6.7,13.7,Loam
38.71231,-97.43432,636129.4703,4285808.174,22.5,32.7,44.6,5.5,10.9,Clay loam
38.71139,-97.43452,636113.8252,4285705.782,27.8,28.8,47.1,6.7,14.1,Clay loam
38.71131,-97.43674,635920.9438,4285693.607,17.9,17.9,48.6,7.6,14.8,Silt loam
38.7123,-97.43608,635976.4561,4285804.449,35.6,15.2,47.1,6.8,14,Loam
38.71231,-97.43669,635923.3972,4285804.654,39,23,49,7.7,15,Loam
38.71141,-97.43336,636214.6513,4285709.726,35.9,32.2,48.3,6.5,14.5,Clay loam
38.71285,-97.4341,636147.5749,4285868.426,21.2,32.4,43,5.5,11.3,Clay loam
38.71133,-97.43513,636060.8983,4285698.217,22.5,23.4,46.8,6.7,14.3,Silt loam
38.71181,-97.43273,636268.6713,4285755.052,18,31.4,45.2,5.9,12.7,Silty clay loam
38.71132,-97.43623,635965.2703,4285695.474,48.3,17.8,47.6,7.5,15.3,Loam
38.71138,-97.43279,636264.2708,4285707.245,25.7,32.4,44.7,5.9,12.4,Clay loam
38.71798,-97.43542,636023.0754,4286435.753,23.1,32.2,46.2,8.7,16.7,Clay loam
38.71767,-97.43393,636153.21,4286403.566,27.5,24.3,45,6.7,14.2,Loam
38.71548,-97.43631,635950.4324,4286157,16.6,30.9,44.4,6.3,12.5,Silty clay loam
38.71591,-97.434,636150.4636,4286208.15,39.6,20.4,48.4,7.6,16.3,Loam
38.7168,-97.43507,636055.7434,4286305.326,37.5,25.4,47,6.7,14,Loam
38.71733,-97.43668,635914.7576,4286361.75,39.3,28.5,44.4,9.3,18.3,Clay loam
38.71797,-97.43487,636070.9135,4286435.461,16,18,43.1,5.7,11.2,Silt loam
38.71594,-97.43567,636005.2064,4286208.998,18.5,32,45.4,6.3,12.8,Silty clay loam
38.71552,-97.43671,635915.5779,4286160.846,18.5,30.2,42.4,6.1,11.6,Silty clay loam
38.71768,-97.43611,635963.6527,4286401.437,24.3,28.1,43.8,5.9,11.8,Clay loam
38.71686,-97.43662,635920.8646,4286309.682,18.6,30.9,42.7,5.8,11,Silty clay loam
38.71592,-97.43618,635960.9017,4286206.021,16.6,32.2,43.7,5.7,11.3,Silty clay loam
38.71641,-97.43519,636046.0495,4286261.868,33.7,26.6,46.3,6.5,13.8,Loam
38.71769,-97.43448,636105.3527,4286404.968,45.6,20.6,46.5,7.7,15.4,Loam
38.71762,-97.43505,636055.9273,4286396.353,40.7,21.6,47.9,7.6,15,Loam
38.7155,-97.43666,635919.9631,4286158.7,13.4,33.5,43.5,5.4,10.9,Silty clay loam
