year,country,area_has,production_ton,yield_kg
1961,Argentina,4420900,5725000,1295
1962,Argentina,3744700,5700000,1522.2
1963,Argentina,5676000,8940000,1575.1
1964,Argentina,6135400,11260000,1835.3
1965,Argentina,4601200,6079000,1321.2
1966,Argentina,5213600,6247000,1198.2
1967,Argentina,5811600,7320000,1259.6
1968,Argentina,5837200,5740000,983.3
1969,Argentina,5191300,7020000,1352.3
1970,Argentina,3700800,4920000,1329.4
1971,Argentina,4294640,5440000,1266.7
1972,Argentina,4965100,7900000,1591.1
1973,Argentina,3957900,6560000,1657.4
1974,Argentina,4233000,5970000,1410.3
1975,Argentina,5270600,8570000,1626
1976,Argentina,6794900,11582000,1704.5
1977,Argentina,4153000,5653100,1361.2
1978,Argentina,4868600,8469400,1739.6
1979,Argentina,4911800,8317800,1693.4
1980,Argentina,5113400,7974700,1559.6
1981,Argentina,5972300,8369600,1401.4
1982,Argentina,7364200,15097700,2050.1
1983,Argentina,7123800,13111400,1840.5
1984,Argentina,5929800,13678600,2306.8
1985,Argentina,5404300,8742800,1617.7
1986,Argentina,4914100,8756500,1781.9
1987,Argentina,4828900,9101200,1884.7
1988,Argentina,4686620,8596900,1834.4
1989,Argentina,5307270,10055700,1894.7
1990,Argentina,5817300,11036600,1897.2
1991,Argentina,4584550,9998500,2180.9
1992,Argentina,4295200,9995900,2327.2
1993,Argentina,4811300,9736500,2023.7
1994,Argentina,5262580,11406500,2167.5
1995,Argentina,4932950,9542320,1934.4
1996,Argentina,7182040,16106700,2242.6
1997,Argentina,5783030,15086800,2608.8
1998,Argentina,5471860,12600600,2302.8
1999,Argentina,6222980,15478700,2487.3
2000,Argentina,6475700,16146600,2493.4
2001,Argentina,6887970,15427800,2239.8
2002,Argentina,6089630,12399000,2036.1
2003,Argentina,5782070,14710200,2544.1
2004,Argentina,6123570,16139200,2635.6
2005,Argentina,5028140,12722000,2530.2
2006,Argentina,5589230,14662900,2623.4
2007,Argentina,5831680,16486500,2827.1
2008,Argentina,4334780,8508160,1962.8
2009,Argentina,3325460,9016370,2711.3
2010,Argentina,4373440,15875700,3630
2011,Argentina,4494280,16354100,3638.9
1961,Australia,5958110,6727190,1129.1
1962,Australia,6664680,8352910,1253.3
1963,Australia,6666680,8924460,1338.7
1964,Australia,7251500,10037000,1384.1
1965,Australia,7087980,7067060,997
1966,Australia,8426760,12699300,1507
1967,Australia,9081640,7546690,831
1968,Australia,10845300,14804100,1365
1969,Australia,9485960,10546200,1111.8
1970,Australia,6478420,7889920,1217.9
1971,Australia,7137850,8606000,1205.7
1972,Australia,7604080,6590000,866.6
1973,Australia,8948260,11987000,1339.6
1974,Australia,8307540,11357000,1367.1
1975,Australia,8555200,11982000,1400.6
1976,Australia,8956260,11800000,1317.5
1977,Australia,9954870,9370340,941.3
1978,Australia,10248900,18090000,1765.1
1979,Australia,11152700,16188000,1451.5
1980,Australia,11283100,10856000,962.1
1981,Australia,11885000,16360000,1376.5
1982,Australia,11519700,8875570,770.5
1983,Australia,12930600,22016000,1702.6
1984,Australia,12078000,18666000,1545.5
1985,Australia,11682000,15999000,1369.5
1986,Australia,11135000,16119000,1447.6
1987,Australia,9005000,12287000,1364.5
1988,Australia,8826820,13935000,1578.7
1989,Australia,9003870,14214500,1578.7
1990,Australia,9218090,15066100,1634.4
1991,Australia,7183000,10557400,1469.8
1992,Australia,8274610,14738700,1781.2
1993,Australia,8383000,16479000,1965.8
1994,Australia,7890690,8961000,1135.6
1995,Australia,9220820,16504000,1789.9
1996,Australia,10936000,23702000,2167.3
1997,Australia,10441000,19224000,1841.2
1998,Australia,11543000,22108000,1915.3
1999,Australia,12338000,24757000,2006.6
2000,Australia,12141000,22108000,1820.9
2001,Australia,11529000,24299000,2107.6
2002,Australia,11170000,10132000,907.1
2003,Australia,13067000,26132000,1999.8
2004,Australia,13399400,21905100,1634.8
2005,Australia,12456000,25173000,2021
2006,Australia,11797900,10821600,917.2
2007,Australia,12578300,13569400,1078.8
2008,Australia,13530200,21420200,1583.1
2009,Australia,13788000,21656000,1570.6
2010,Australia,13507000,22138000,1639
2011,Australia,13501800,27410100,2030.1
1961,Canada,10245000,7713000,752.9
1962,Canada,10853000,15393000,1418.3
1963,Canada,11156000,19691000,1765.1
1964,Canada,12018000,16349000,1360.4
1965,Canada,11453000,17674000,1543.2
1966,Canada,12016000,22516800,1873.9
1967,Canada,12189300,16136900,1323.9
1968,Canada,11907900,17689000,1485.5
1969,Canada,10101400,18267700,1808.4
1970,Canada,5051780,9024250,1786.4
1971,Canada,7853500,14412300,1835.1
1972,Canada,8639800,14514000,1679.9
1973,Canada,9575010,16159200,1687.6
1974,Canada,8938000,13303500,1488.4
1975,Canada,9478740,17080600,1802
1976,Canada,11251700,23587200,2096.3
1977,Canada,10115400,19858200,1963.2
1978,Canada,10575100,21136800,1998.7
1979,Canada,10523100,17196000,1634.1
1980,Canada,11208400,19292000,1721.2
1981,Canada,12426600,24802000,1995.9
1982,Canada,12521000,26715000,2133.6
1983,Canada,13680500,26465000,1934.5
1984,Canada,13160900,21187900,1609.9
1985,Canada,13729000,24252000,1766.5
1986,Canada,14229400,31378000,2205.2
1987,Canada,13457700,25945000,1927.9
1988,Canada,12944300,15913000,1229.3
1989,Canada,13717500,24796200,1807.6
1990,Canada,14097500,32098000,2276.9
1991,Canada,14160900,31945600,2255.9
1992,Canada,13830300,29877200,2160.3
1993,Canada,12374000,27255900,2202.7
1994,Canada,10773000,22919500,2127.5
1995,Canada,11122700,24989400,2246.7
1996,Canada,12262000,29801400,2430.4
1997,Canada,11409900,24280300,2128
1998,Canada,10679700,24082300,2255
1999,Canada,10374800,26940800,2596.8
2000,Canada,10854800,26535500,2444.6
2001,Canada,10605500,20630200,1945.2
2002,Canada,8710500,15961300,1832.4
2003,Canada,10214500,23048600,2256.5
2004,Canada,9388900,24795500,2640.9
2005,Canada,9403800,25748100,2738.1
2006,Canada,9681800,25265400,2609.6
2007,Canada,8636300,20054000,2322.1
2008,Canada,10031700,28611100,2852.1
2009,Canada,9638200,26847600,2785.5
2010,Canada,8268700,23166800,2801.7
2011,Canada,8543600,25261400,2956.8
1961,China,25567759,14294248,559.1
1962,China,24071363,16707100,694.1
1963,China,23764512,18493739,778.2
1964,China,25391511,20859709,821.5
1965,China,24696119,25243492,1022.2
1966,China,23908507,25308507,1058.6
1967,China,25285891,28508864,1127.5
1968,China,24640716,27472118,1114.9
1969,China,25141660,27294950,1085.6
1970,China,25435003,29188664,1147.6
1971,China,25615036,32577346,1271.8
1972,China,26276672,35986546,1369.5
1973,China,26412386,35225921,1333.7
1974,China,27034304,40865738,1511.6
1975,China,27634268,45313042,1639.7
1976,China,28380502,50386224,1775.4
1977,China,28037558,41076287,1465
1978,China,29184151,53842395,1844.9
1979,China,29320977,62732521,2139.5
1980,China,29191137,55212839,1891.4
1981,China,28279019,59642710,2109.1
1982,China,27928008,68472314,2451.7
1983,China,29051138,81391570,2801.7
1984,China,29577517,87817360,2969.1
1985,China,29219053,85807125,2936.7
1986,China,29617134,90043693,3040.3
1987,China,28799188,85904702,2982.9
1988,China,28785660,85432957,2967.9
1989,China,29842159,90810039,3043
1990,China,30754285,98231932,3194.1
1991,China,30949090,95953581,3100.4
1992,China,30497202,101591326,3331.2
1993,China,30236410,106394921,3518.8
1994,China,28981966,99301440,3426.3
1995,China,28861315,102211429,3541.5
1996,China,29611057,110569193,3734.1
1997,China,30057020,123290085,4101.9
1998,China,29775127,109726066,3685.2
1999,China,28855019,113880088,3946.6
2000,China,26653336,99636127,3738.2
2001,China,24664068,93873234,3806.1
2002,China,23908072,90290262,3776.6
2003,China,21997075,86488264,3931.8
2004,China,21626074,91952238,4251.9
2005,China,22792462,97445196,4275.3
2006,China,22961567,108466271,4723.8
2007,China,23721070,109298296,4607.6
2008,China,23617266,112464292,4762
2009,China,24291081,115115364,4739
2010,China,24256086,115181303,4748.6
2011,China,24270480,117410300,4837.6
1961,France,3997300,9573520,2395
1962,France,4570000,14053800,3075.2
1963,France,3849500,10249000,2662.4
1964,France,4388200,13837700,3153.4
1965,France,4520000,14760000,3265.5
1966,France,3992300,11296600,2829.6
1967,France,3928900,14287500,3636.5
1968,France,4089700,14984900,3664.1
1969,France,4034200,14446000,3580.9
1970,France,3696000,12649000,3422.3
1971,France,3947000,15241000,3861.4
1972,France,3938000,17996000,4569.8
1973,France,3961000,17851000,4506.7
1974,France,4146000,19007000,4584.4
1975,France,3875900,15013000,3873.4
1976,France,4275000,16126000,3772.2
1977,France,4125000,17450000,4230.3
1978,France,4166600,20967700,5032.3
1979,France,4087000,19544000,4782
1980,France,4590000,23781000,5181
1981,France,4742000,23762000,5011
1982,France,4843000,25358000,5236
1983,France,4826000,24745000,5127.4
1984,France,5105000,32977000,6459.7
1985,France,4797400,28784000,5999.9
1986,France,4858900,26474800,5448.7
1987,France,4932100,27414600,5558.4
1988,France,4721000,29038500,6150.9
1989,France,5013000,31822300,6348
1990,France,5147000,33345800,6478.7
1991,France,5144800,34344600,6675.6
1992,France,5081980,32545900,6404.2
1993,France,4513000,29209000,6472.2
1994,France,4574000,30500000,6668.1
1995,France,4745000,30880000,6507.9
1996,France,5040300,35948900,7132.3
1997,France,5110000,33847000,6623.7
1998,France,5234000,39809000,7605.8
1999,France,5115200,37050000,7243.1
2000,France,5248440,37353400,7117
2001,France,4766560,31540300,6617
2002,France,5229960,38939200,7445.4
2003,France,4876050,30474700,6249.9
2004,France,5237410,39692900,7578.7
2005,France,5277900,36885500,6988.7
2006,France,5245740,35363600,6741.4
2007,France,5238600,32763500,6254.2
2008,France,5492440,39006400,7101.8
2009,France,5147400,38332200,7446.9
2010,France,5931000,40787000,6876.9
2011,France,5827000,38037000,6527.7
1961,Germany,1774630,5076710,2860.7
1962,Germany,1742400,5906470,3389.8
1963,Germany,1808210,6135980,3393.4
1964,Germany,1880080,6551200,3484.5
1965,Germany,1902600,6149340,3232.1
1966,Germany,1872840,6053960,3232.5
1967,Germany,1947140,7830620,4021.6
1968,Germany,2033860,8575080,4216.2
1969,Germany,2054490,7987160,3887.7
1970,Germany,2091560,7794040,3726.4
1971,Germany,2177680,9631770,4423
1972,Germany,2315880,9351590,4038
1973,Germany,2299050,9995660,4347.7
1974,Germany,2359550,10914600,4625.7
1975,Germany,2257530,9749840,4318.8
1976,Germany,2393380,9416600,3934.4
1977,Germany,2330290,10149100,4355.3
1978,Germany,2305180,11265100,4886.9
1979,Germany,2339500,11177100,4777.6
1980,Germany,2374810,11253900,4738.9
1981,Germany,2306460,11254900,4879.7
1982,Germany,2168640,11370900,5243.3
1983,Germany,2409210,12548200,5208.4
1984,Germany,2380860,14126000,5933.2
1985,Germany,2367540,13801500,5829.5
1986,Germany,2396840,14601300,6091.9
1987,Germany,2418960,13971200,5775.7
1988,Germany,2508700,15620700,6226.6
1989,Germany,2553730,14509100,5681.5
1990,Germany,2429610,15241900,6273.4
1991,Germany,2453330,16612000,6771.2
1992,Germany,2598470,15541700,5981.1
1993,Germany,2394600,15766500,6584.2
1994,Germany,2445800,16538600,6762
1995,Germany,2578800,17763000,6888.1
1996,Germany,2594420,18921700,7293.2
1997,Germany,2727900,19826800,7268.2
1998,Germany,2802460,20187500,7203.5
1999,Germany,2601120,19615400,7541.1
2000,Germany,2968940,21621500,7282.6
2001,Germany,2897200,22837800,7882.7
2002,Germany,3014620,20817700,6905.6
2003,Germany,2963730,19259800,6498.5
2004,Germany,3111650,25427200,8171.6
2005,Germany,3173800,23692700,7465.1
2006,Germany,3114700,22427900,7200.7
2007,Germany,2992080,20828100,6961.1
2008,Germany,3213490,25988600,8087.3
2009,Germany,3226040,25192400,7809.1
2010,Germany,3297700,24106700,7310.2
2011,Germany,3248200,22800000,7019.3
1961,Mexico,836538,1401910,1675.8
1962,Mexico,747728,1455260,1946.2
1963,Mexico,819210,1702990,2078.8
1964,Mexico,818325,2203070,2692.2
1965,Mexico,858259,2150350,2505.5
1966,Mexico,730793,1647370,2254.2
1967,Mexico,778374,2122390,2726.7
1968,Mexico,790646,2080730,2631.7
1969,Mexico,841279,2326060,2764.9
1970,Mexico,886169,2676450,3020.2
1971,Mexico,614180,1830850,2981
1972,Mexico,686665,1809020,2634.5
1973,Mexico,640456,2090850,3264.6
1974,Mexico,774149,2788680,3602.3
1975,Mexico,778237,2798220,3595.6
1976,Mexico,894140,3363300,3761.5
1977,Mexico,708863,2455770,3464.4
1978,Mexico,759526,2784660,3666.3
1979,Mexico,584226,2286530,3913.8
1980,Mexico,723804,2784910,3847.6
1981,Mexico,859760,3193230,3714.1
1982,Mexico,1008060,4391420,4356.3
1983,Mexico,857043,3463300,4041
1984,Mexico,1033850,4505250,4357.7
1985,Mexico,1217080,5214320,4284.3
1986,Mexico,1202230,4769410,3967.1
1987,Mexico,988097,4415390,4468.6
1988,Mexico,912762,3665130,4015.4
1989,Mexico,1144180,4374740,3823.5
1990,Mexico,932763,3930930,4214.3
1991,Mexico,983892,4060740,4127.2
1992,Mexico,915882,3620500,3953
1993,Mexico,877598,3582450,4082.1
1994,Mexico,964572,4150920,4303.4
1995,Mexico,929331,3468220,3732
1996,Mexico,809240,3375010,4170.6
1997,Mexico,772303,3656590,4734.7
1998,Mexico,768844,3235080,4207.7
1999,Mexico,652312,3020890,4631.1
