TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,SOILEC5CM,SOILEC10CM,SOILEC20CM,SOILEC50CM,SOILKA5CM,SOILKA10CM,SOILKA20CM,SOILKA50CM,SOILPA5CM,SOILPA10CM,SOILPA20CM,SOILPA50CM,SOILVR5CM,SOILVR10CM,SOILVR20CM,SOILVR50CM,VWC5CM,VWC10CM,VWC20CM,VWC50CM
2017-06-01 00:00:00,Gypsum,97.22,97.37,97.06,101.48,21.18,13.04,28.64,21.34,13.04,28.64,68.34,95.58,32.94,67.22,95.58,32.94,0.97,1.78,345.4,29.84,2.36,9.49,3.26,11.21,98.28,54.81,100.47,53.05,24.42,30.29,19.29,24.01,27.9,20.44,25.02,24.19,22.61,19.54,0.29194,0.35654,0.32029,0.2606,21.41,24.4,26.24,21.06,1.7771,1.8455,1.8852,1.7637,1.3736,1.4567,1.4005,1.3221,0.3622,0.3945,0.4122,0.3581
2017-06-02 00:00:00,Gypsum,97.17,97.42,96.88,101.42,22.08,16.92,29.64,22.15,16.92,29.64,74.76,95.78,48.55,74.81,95.78,48.55,0.76,0.51,185.66,16.04,2.99,8.23,3.84,10,136.44,32.48,135.78,32.12,22.63,25.87,20.16,22.67,24.53,21.11,22.83,22.58,22.17,20.02,0.27727,0.33612,0.31257,0.26192,20.03,23.31,25.57,20.82,1.747,1.8228,1.8718,1.7588,1.3547,1.4303,1.3908,1.3237,0.3458,0.3832,0.4059,0.3554
2017-06-03 00:00:00,Gypsum,97.12,97.3,96.94,101.35,23.13,16.39,30.44,23.2,16.39,30.44,63.19,88.31,31.65,62.89,88.31,31.65,1.21,0,335.66,29,2.68,8.53,3.53,9.66,160.2,22.18,160.17,18.24,24.56,30.38,19.38,23.94,27.69,20.37,25.18,24.19,22.48,20.01,0.28838,0.34379,0.31436,0.26071,19.13,22.41,25.07,20.55,1.7283,1.8054,1.8621,1.7529,1.369,1.4402,1.393,1.3222,0.3343,0.3736,0.4011,0.3521
2017-06-04 00:00:00,Gypsum,97.1,97.3,96.85,101.34,21.85,14.52,29.56,22.15,14.52,29.56,76.81,98.85,44.44,76.49,98.85,44.44,0.76,0,265.08,22.9,1.15,5.96,1.6,6.74,143.86,74.82,139.99,71.5,24.92,30.23,20.41,24.53,27.91,21.41,25.48,24.74,23.25,20.44,0.28698,0.33913,0.31932,0.26268,17.8,21,24.62,20.33,1.699,1.7761,1.8536,1.7482,1.3672,1.4342,1.3992,1.3246,0.3168,0.3574,0.3967,0.3494
2017-06-05 00:00:00,Gypsum,96.82,97.08,96.56,101.03,23,17.34,29.76,23.23,17.34,29.76,76.08,97.66,44.11,75.63,97.66,44.11,0.81,0,270.14,23.34,1.26,6.7,1.86,7.53,104.99,63.64,111.98,61.47,25.64,30.42,22.02,25.21,28.31,22.64,26.2,25.41,23.81,20.87,0.28805,0.33576,0.32287,0.26449,16.78,19.82,24.29,20.16,1.6759,1.7513,1.8471,1.7448,1.3686,1.4299,1.4037,1.3269,0.3024,0.3432,0.3934,0.3474
2017-06-06 00:00:00,Gypsum,96.75,96.98,96.61,100.95,24.81,14.99,33,25.24,14.99,33,63.45,99.33,23.57,62.17,99.33,23.57,1.5,0,354.99,30.67,0.93,6.35,1.54,7.35,114.13,76.64,115.16,76.05,27.09,33.15,21.35,26.38,30.36,22.4,27.72,26.65,24.57,21.28,0.29202,0.33444,0.32789,0.2658,15.61,18.4,23.92,19.99,1.6492,1.7207,1.8402,1.7413,1.3737,1.4282,1.41,1.3285,0.285,0.3248,0.3897,0.3453
2017-06-07 00:00:00,Gypsum,97.1,97.4,96.87,101.3,23.64,17.74,31.25,24.09,17.74,31.25,71.18,95.62,34.34,67.71,95.62,34.34,1.01,0.25,278.11,24.03,1.24,7.37,1.85,10.37,93.57,82.59,81.19,82.54,27.21,32.68,23.51,26.89,30.27,24.39,27.66,27.05,25.48,21.93,0.28531,0.32671,0.33402,0.2685,14.3,16.95,23.53,19.86,1.6173,1.688,1.8326,1.7385,1.3651,1.4182,1.4177,1.3319,0.2645,0.3048,0.3856,0.3436
2017-06-08 00:00:00,Gypsum,97.39,97.57,97.16,101.64,21.75,14.72,28.83,22.29,14.72,28.83,58.05,96.63,23.98,53.5,96.63,23.98,1.28,0,361.11,31.2,1.21,6.33,1.75,7.47,110.44,56.54,102.78,51.25,26.99,32.81,22.17,26.62,30.35,23.36,27.61,26.85,25.33,22.31,0.2757,0.31562,0.33238,0.27004,13.28,15.82,23.04,19.7,1.5912,1.6611,1.8227,1.7353,1.3527,1.4039,1.4157,1.3338,0.2477,0.2882,0.3804,0.3417
2017-06-09 00:00:00,Gypsum,97.09,97.42,96.74,101.35,21.06,11.84,28.76,21.74,11.84,28.76,61.59,93.28,30.1,57.07,93.28,30.1,1.19,0,339.16,29.3,1.62,8.82,2.32,10.17,186.52,45.15,177.55,36.22,26.39,32.05,21.31,26.1,29.64,22.73,26.97,26.31,25.13,22.5,0.26273,0.30054,0.33082,0.26996,12.31,14.67,22.45,19.53,1.5652,1.6326,1.8107,1.7316,1.336,1.3845,1.4137,1.3337,0.2311,0.2705,0.374,0.3395
2017-06-10 00:00:00,Gypsum,96.58,96.85,96.28,100.79,23.75,14.12,30.84,24.1,14.12,30.84,61.98,93.25,37.04,60.22,93.25,37.04,1.33,0,320.09,27.66,2.8,9.27,3.84,10.62,167.23,25.24,167.87,19.22,26.81,31.81,22.2,26.33,29.43,23.2,27.43,26.65,25.24,22.59,0.257,0.2923,0.33138,0.26889,11.58,13.74,21.85,19.33,1.5453,1.6093,1.7985,1.7272,1.3287,1.3739,1.4144,1.3324,0.218,0.2555,0.3673,0.337
