TIMESTAMP,STATION,PRESSUREAVG,PRESSUREMAX,PRESSUREMIN,SLPAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,TEMP10MAVG,TEMP10MMIN,TEMP10MMAX,RELHUM2MAVG,RELHUM2MMAX,RELHUM2MMIN,RELHUM10MAVG,RELHUM10MMAX,RELHUM10MMIN,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,WSPD2MMAX,WSPD10MAVG,WSPD10MMAX,WDIR2M,WDIR2MSTD,WDIR10M,WDIR10MSTD,SOILTMP5AVG,SOILTMP5MAX,SOILTMP5MIN,SOILTMP10AVG,SOILTMP10MAX,SOILTMP10MIN,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM
1/1/18 0:00,Gypsum,99.44,100.03,98.73,104.44,-15.15,-19.56,-11,-15.31,-19.56,-11,56.63,71.35,40.37,57.34,71.35,40.37,0.08,0,110.92,9.58,4.62,9.06,5.65,9.41,6.17,15.2,7.13,13.36,-2.99,-1.9,-4.17,-1.66,-1.18,-2.45,-1.33,-1.14,0.74,3.5,0.1377,0.1167,0.2665,0.2203
1/2/18 0:00,Gypsum,99.79,100.14,99.4,104.88,-16.48,-22.1,-10.4,-16.38,-22.1,-10.4,57.44,76.06,35.55,57.08,76.06,35.55,0.08,0,126.78,10.95,1.42,4.41,1.95,5.19,26.68,50.5,30.52,48.24,-3.74,-2.08,-5.2,-2.52,-1.56,-3.46,-2.1,-1.82,0.28,3.13,0.1234,0.1021,0.2642,0.2196
1/3/18 0:00,Gypsum,98.87,99.52,97.94,103.81,-11.03,-20.64,-2.71,-10.66,-20.64,-2.71,50.74,80.24,26.4,49.24,80.24,26.4,0.16,0,118.89,10.27,2.48,8.27,3.06,9.17,210.4,31.5,201.24,42.86,-3.41,-1.72,-5.13,-2.51,-1.49,-3.61,-2.21,-1.93,-0.08,2.76,0.1206,0.0965,0.2353,0.2189
1/4/18 0:00,Gypsum,98.22,98.54,97.9,102.99,-5.83,-11.79,0.24,-5.01,-11.79,0.24,60.17,81.65,42.8,58.91,81.65,42.8,0.17,0,95.84,8.28,2.43,8.55,3.04,9.39,296.14,66.11,320.88,69.61,-2.5,-0.95,-3.65,-1.89,-0.98,-2.67,-1.6,-1.46,-0.21,2.45,0.1235,0.0973,0.2094,0.2182
1/5/18 0:00,Gypsum,98.1,98.42,97.75,102.88,-4.73,-14.22,5.36,-4.23,-14.22,5.36,58.75,85.26,30.29,57.83,85.26,30.29,0.23,0,126.05,10.89,1.97,7.43,2.59,8.37,178.9,36.47,178.09,34.39,-2.17,-0.46,-3.91,-1.71,-0.72,-2.81,-1.54,-1.38,-0.25,2.25,0.1249,0.0976,0.2047,0.218
1/6/18 0:00,Gypsum,98.21,98.63,97.79,102.97,-5.84,-10.12,-0.36,-5.27,-10.12,-0.36,59.58,87.63,36.87,58.36,87.63,36.87,0.17,0,118.35,10.23,2.31,6.45,3.24,6.92,24.97,51.45,24.96,49.36,-1.87,-0.63,-2.91,-1.35,-0.72,-2.06,-1.18,-1.06,-0.16,2.13,0.1281,0.0998,0.2057,0.2176
1/7/18 0:00,Gypsum,98.07,98.62,97.11,102.85,-4.73,-13.48,3.14,-4.55,-13.48,3.14,58.48,84.22,36.86,58.31,84.22,36.86,0.22,0,104.63,9.04,2.65,7.12,3.33,7.55,96.39,46.11,97.84,44.41,-1.9,-0.49,-3.52,-1.49,-0.69,-2.48,-1.28,-1.15,-0.19,2.06,0.1275,0.0989,0.2056,0.2176
1/8/18 0:00,Gypsum,96.9,97.43,96.64,101.44,4.04,-3.71,9.86,4.77,-3.71,9.86,63.37,94.18,37.31,62.39,94.18,37.31,0.33,0,46.82,4.05,2.56,10.07,3.26,11.47,189.84,75.67,205.79,85.08,-0.08,1.17,-0.89,-0.32,0.07,-0.72,-0.2,-0.2,-0.05,1.99,0.1439,0.1144,0.2124,0.2171
1/9/18 0:00,Gypsum,97.57,97.87,97.35,102.18,3.15,-8.63,14.28,3.86,-8.63,14.28,63.03,97.48,20.54,62.83,97.48,20.54,0.4,0,125.85,10.87,1.78,5.53,2.35,6.02,193.5,57.7,212.09,61.29,-0.01,2.35,-1.56,-0.18,0.53,-0.78,-0.15,-0.13,0.06,2,0.1563,0.12,0.2323,0.2171
1/10/18 0:00,Gypsum,96.84,97.43,96.35,101.32,7.84,2.67,15.7,7.87,2.67,15.7,54.81,87.74,32.69,55.03,87.74,32.69,0.53,0,104.68,9.04,4.32,12.54,5.42,15.23,163.91,15.32,163.78,14.42,1.57,4.16,-0.19,0.91,2.4,-0.09,0.85,0.83,0.31,2.04,0.1743,0.1327,0.2594,0.2172
