Calibration of Hydrosense soil moisture sensor using columns of packed soil in laboratorie conditions,,,,,,,
measurement,sand,clay,textural_class,bulk_density,vwc_true,period_average,vwc_sensor
1,16,33,silty clay loam,1.44,4.6,1.12,2.1
2,16,33,silty clay loam,1.32,12.5,1.255,8.8
3,16,33,silty clay loam,1.4,23.5,1.55,27
4,16,33,silty clay loam,1.36,33.4,1.729,38.8
5,16,33,silty clay loam,1.33,42.2,1.797,42.4
6,16,33,silty clay loam,1.44,4.6,1.125,2
7,16,33,silty clay loam,1.32,12.5,1.273,9.7
8,16,33,silty clay loam,1.4,23.5,1.552,27.2
9,16,33,silty clay loam,1.36,33.4,1.711,38
10,16,33,silty clay loam,1.33,42.2,1.79,42.3
11,100,0,sand,1.78,0.3,1.074,0
12,100,0,sand,1.74,6.6,1.167,4.3
13,100,0,sand,1.78,15.6,1.219,7.2
14,100,0,sand,1.76,17.9,1.254,9.3
15,100,0,sand,1.75,24.6,1.334,14.3
16,100,0,sand,1.83,32,1.634,33.8
17,100,0,sand,1.78,0.3,1.073,0
18,100,0,sand,1.74,6.6,1.169,4.1
19,100,0,sand,1.78,15.6,1.218,6.9
20,100,0,sand,1.76,17.9,1.256,9.2
21,100,0,sand,1.75,24.6,1.366,16.3
22,100,0,sand,1.83,32,1.64,34.3
23,29,20,silt loam,1.4,1.7,1.056,0
24,29,20,silt loam,1.4,8.8,1.181,4.8
25,29,20,silt loam,1.39,16.3,1.302,11.2
26,29,20,silt loam,1.4,24,1.432,19.8
27,29,20,silt loam,1.38,31.3,1.6,31.3
28,29,20,silt loam,1.39,37.4,1.689,36.5
29,29,20,silt loam,1.42,45,1.806,43.2
30,29,20,silt loam,1.4,1.7,1.056,0
31,29,20,silt loam,1.4,8.8,1.177,4.4
32,29,20,silt loam,1.39,16.3,1.308,11.4
33,29,20,silt loam,1.4,24,1.416,18.7
34,29,20,silt loam,1.38,31.3,1.55,28.1
35,29,20,silt loam,1.39,37.4,1.676,36
36,29,20,silt loam,1.42,45,1.807,43.5
37,20,21,silt loam,1.39,3.3,1.107,1.5
38,20,21,silt loam,1.36,14.8,1.321,11.8
39,20,21,silt loam,1.39,30.3,1.563,28.2
40,20,21,silt loam,1.42,44.8,1.857,46
41,20,28,silty clay loam,1.42,2.4,1.089,0.7
42,20,28,silty clay loam,1.26,14.2,1.283,9.6
43,20,28,silty clay loam,1.29,26.3,1.475,21.2
44,20,28,silty clay loam,1.32,44.6,1.862,45.7
45,13,46,silty clay,1.29,1.3,1.083,0.4
46,13,46,silty clay,1.23,14.5,1.27,9.9
47,13,46,silty clay,1.21,28.7,1.544,25.8
48,13,46,silty clay,1.23,40.8,1.935,48.4
50,46,23,loam,1.3,14.9,1.247,7.8
51,46,23,loam,1.49,32.8,1.728,38.1
52,46,23,loam,1.39,40.9,1.835,44.4
53,100,0,sand,1.7,0.3,1.071,0
54,100,0,sand,1.56,13.4,1.221,7
55,100,0,sand,1.59,28,1.53,27.2
56,100,0,sand,1.63,28.5,1.551,28.6
57,20,21,silt loam,1.37,3.2,1.101,1.2
58,20,21,silt loam,1.37,17.9,1.361,15
59,20,21,silt loam,1.36,33.1,1.673,36.3
60,20,21,silt loam,1.35,45.1,1.856,45.9
61,20,28,silty clay loam,1.35,2.5,1.088,0.6
62,20,28,silty clay loam,1.37,17.4,1.37,15
63,20,28,silty clay loam,1.29,30.5,1.621,32.2
64,20,28,silty clay loam,1.24,43.2,1.837,44.9
65,13,46,silty clay,1.4,3.2,1.098,1
66,13,46,silty clay,1.13,14.9,1.258,9.2
67,13,46,silty clay,1,24.1,1.454,20.7
68,13,46,silty clay,1.28,53.3,2.015,52.7
69,46,23,loam,1.34,2.3,1.074,0
70,46,23,loam,1.18,16.5,1.285,10.3
71,46,23,loam,1.27,31.6,1.67,36
72,46,23,loam,1.39,47.4,1.847,45.7
73,100,0,sand,1.71,0.2,1.073,0
74,100,0,sand,1.6,14.9,1.246,8.4
75,100,0,sand,1.59,28,1.54,27.8
76,100,0,sand,1.76,29.9,1.653,35.1
77,14,13,Silt loam      ,1.48,29.1,1.667,36
78,16,22,Silt loam      ,1.49,26.1,1.631,33.7
79,19,28,Silty clay loam,1.46,25.5,1.648,34.8
80,14,23,Silt loam      ,1.42,25.8,1.582,30.5
81,9,41,Silty clay     ,1.27,30.5,1.757,41
82,9,42,Silty clay     ,1.3,32.4,1.718,38.9
83,10,45,Silty clay     ,1.34,32.3,1.771,41.8
84,10,34,Silty clay loam,1.34,31.2,1.684,36.9
85,10,36,Silty clay loam,1.38,32.3,1.69,37.2
86,11,29,Silty clay loam,1.35,31,1.636,34
87,9,45,Silty clay     ,1.38,37.4,1.968,50.5
88,9,48,Silty clay     ,1.32,37.1,1.95,49.9
89,13,32,Silty clay loam,1.43,30.8,1.724,39.1
90,12,38,Silty clay loam,1.51,37.9,1.821,44.3
91,61,18,Sandy loam     ,1.57,16.7,1.443,19.9
92,55,24,Sandy clay loam,1.48,20.2,1.595,31
93,64,18,Sandy loam     ,1.51,13.5,1.345,14.4
94,61,18,Sandy loam     ,1.45,18,1.438,20.6
95,18,15,Silt loam      ,1.38,36.7,1.646,34.6
96,19,16,Silt loam      ,1.41,37.2,1.72,39.1
97,19,19,Silt loam      ,1.4,37.1,1.716,38.8
98,12,33,Silty clay loam,1.36,40,1.892,47.1
99,11,32,Silty clay loam,1.43,41.1,1.87,46.2
