RECORD,FILENAME,LABEL,COL,ROW,TOTALCOLS,TOTALROWS,TIMESTAMP,R1,G1,B1
1,example.jpg,canopy,955,230,1070,802,2024-04-29T19:50:08.686Z,237,2,2
2,example.jpg,canopy,973,241,1070,802,2024-04-29T19:50:09.744Z,237,2,2
3,example.jpg,canopy,988,245,1070,802,2024-04-29T19:50:10.717Z,237,2,2
4,example.jpg,canopy,1007,250,1070,802,2024-04-29T19:50:11.513Z,237,2,2
5,example.jpg,canopy,1021,258,1070,802,2024-04-29T19:50:12.766Z,237,2,2
6,example.jpg,canopy,904,252,1070,802,2024-04-29T19:50:14.180Z,237,2,2
7,example.jpg,canopy,750,203,1070,802,2024-04-29T19:50:15.608Z,237,2,2
8,example.jpg,canopy,721,205,1070,802,2024-04-29T19:50:16.379Z,237,2,2
9,example.jpg,canopy,654,209,1070,802,2024-04-29T19:50:17.538Z,237,2,2
10,example.jpg,canopy,607,187,1070,802,2024-04-29T19:50:18.735Z,237,2,2
11,example.jpg,canopy,575,192,1070,802,2024-04-29T19:50:19.930Z,237,2,2
12,example.jpg,canopy,594,245,1070,802,2024-04-29T19:50:21.457Z,237,2,2
13,example.jpg,canopy,638,217,1070,802,2024-04-29T19:50:23.876Z,237,2,2
14,example.jpg,canopy,277,220,1070,802,2024-04-29T19:50:25.456Z,237,2,2
15,example.jpg,canopy,276,182,1070,802,2024-04-29T19:50:26.423Z,237,2,2
16,example.jpg,canopy,303,167,1070,802,2024-04-29T19:50:27.359Z,237,2,2
17,example.jpg,canopy,151,163,1070,802,2024-04-29T19:50:29.324Z,237,2,2
18,example.jpg,canopy,188,185,1070,802,2024-04-29T19:50:30.995Z,237,2,2
19,example.jpg,canopy,201,202,1070,802,2024-04-29T19:50:32.515Z,237,2,2
20,example.jpg,canopy,212,227,1070,802,2024-04-29T19:50:33.815Z,237,2,2
21,example.jpg,canopy,231,321,1070,802,2024-04-29T19:50:34.813Z,237,2,2
22,example.jpg,canopy,220,351,1070,802,2024-04-29T19:50:35.659Z,237,2,2
23,example.jpg,canopy,202,481,1070,802,2024-04-29T19:50:37.246Z,237,2,2
24,example.jpg,canopy,250,525,1070,802,2024-04-29T19:50:39.158Z,237,2,2
25,example.jpg,canopy,361,489,1070,802,2024-04-29T19:50:40.308Z,237,2,2
26,example.jpg,canopy,328,489,1070,802,2024-04-29T19:50:41.262Z,237,2,2
27,example.jpg,canopy,321,547,1070,802,2024-04-29T19:50:42.340Z,237,2,2
28,example.jpg,canopy,242,653,1070,802,2024-04-29T19:50:43.435Z,237,2,2
29,example.jpg,canopy,224,695,1070,802,2024-04-29T19:50:44.626Z,237,2,2
30,example.jpg,canopy,253,718,1070,802,2024-04-29T19:50:45.831Z,237,2,2
31,example.jpg,canopy,194,745,1070,802,2024-04-29T19:50:47.404Z,237,2,2
32,example.jpg,canopy,222,726,1070,802,2024-04-29T19:50:48.994Z,237,2,2
33,example.jpg,canopy,144,779,1070,802,2024-04-29T19:50:50.456Z,237,2,2
