datetime,pressure,tmin,tmax,tavg,rmin,rmax,prcp,srad,wspd,wdir,vpd,vwc_5cm,vwc_20cm,vwc_40cm,soiltemp_5cm,soiltemp_20cm,soiltemp_40cm,battv,discharge
2022-01-01,96.838,-14.8,-4.4,-9.6,78.475,98.012,0.25,2.098,5.483,0.969,0.028,0.257,0.307,0.359,2.996,5.392,7.425,8714.833,0.0
2022-01-02,97.995,-20.4,-7.2,-13.8,50.543,84.936,0.25,9.756,2.216,2.023,0.072,0.256,0.307,0.358,2.562,4.25,6.692,8890.042,0.0
2022-01-03,97.844,-9.4,8.8,-0.3,40.622,82.662,0.5,9.681,2.749,5.667,0.262,0.255,0.307,0.358,2.454,3.917,6.208,8924.833,0.0
2022-01-04,96.419,0.1,8.6,4.35,48.326,69.402,0.25,8.379,5.806,2.627,0.363,0.289,0.319,0.357,2.496,3.754,5.842,8838.292,0.0
2022-01-05,97.462,-11.1,-2.2,-6.65,50.341,76.828,0.0,5.717,4.207,1.251,0.126,0.313,0.337,0.357,1.688,3.429,5.567,8848.083,0.0
2022-01-06,98.037,-14.4,-10.4,-12.4,53.491,78.943,0.0,9.078,3.307,5.827,0.074,0.284,0.33,0.359,0.829,2.637,5.117,8990.208,0.0
2022-01-07,97.499,-14.5,-5.6,-10.05,63.052,84.128,0.0,8.77,3.505,3.98,0.083,0.232,0.327,0.359,0.388,2.142,4.688,9042.5,0.0
2022-01-08,96.579,-6.8,5.8,-0.5,85.535,99.315,0.0,2.514,3.254,5.823,0.043,0.224,0.325,0.36,0.167,1.763,4.283,8849.75,0.0
2022-01-09,98.773,-9.1,1.7,-3.7,35.398,80.071,0.0,9.867,3.331,3.201,0.19,0.246,0.324,0.359,0.371,1.708,4.025,8876.125,0.0
2022-01-10,98.924,-5.6,9.2,1.8,36.694,71.624,0.0,9.854,2.222,2.181,0.305,0.238,0.323,0.359,0.304,1.742,3.875,8906.083,0.0
2022-01-11,98.03,1.5,16.1,8.8,27.542,67.569,0.0,9.961,4.183,4.003,0.612,0.282,0.323,0.359,0.996,1.942,3.758,8806.083,0.0
2022-01-12,97.56,-2.3,12.2,4.95,38.208,86.465,0.0,7.653,2.31,3.973,0.35,0.298,0.323,0.359,2.258,2.746,3.983,8765.917,0.0
2022-01-13,97.44,1.9,14.8,8.35,41.411,79.311,0.0,9.86,1.998,4.417,0.404,0.296,0.323,0.359,3.812,3.65,4.304,8771.125,0.0
2022-01-14,97.012,-2.2,11.8,4.8,52.884,98.007,1.379,3.32,4.032,2.898,0.289,0.293,0.322,0.36,4.725,4.762,4.913,8666.208,0.0
2022-01-15,97.835,-9.9,-4.6,-7.25,85.471,92.366,0.0,4.288,5.668,2.153,0.043,0.297,0.322,0.36,2.604,4.058,5.154,8628.292,0.0
2022-01-16,97.178,-12.7,6.5,-3.1,65.291,97.163,1.01,10.308,2.212,5.185,0.125,0.305,0.323,0.359,1.804,3.113,4.808,8796.917,0.0
2022-01-17,97.061,-3.7,11.6,3.95,45.029,94.595,0.0,10.094,3.009,3.014,0.282,0.32,0.333,0.359,2.321,2.971,4.512,8849.25,0.0
2022-01-18,96.475,2.7,16.6,9.65,33.878,70.085,0.0,9.582,3.325,2.37,0.535,0.317,0.336,0.361,4.121,3.958,4.612,8766.542,0.0
2022-01-19,98.124,-11.2,5.3,-2.95,49.567,77.278,0.0,4.894,6.399,0.5,0.158,0.304,0.331,0.364,2.863,4.225,5.083,8725.25,0.0
2022-01-20,99.066,-16.4,-7.7,-12.05,41.223,82.401,0.0,10.998,1.977,5.017,0.096,0.257,0.328,0.365,0.754,2.637,4.675,8922.042,0.0
2022-01-21,98.373,-13.8,-0.5,-7.15,37.526,79.531,0.0,10.195,3.687,6.209,0.179,0.21,0.326,0.364,-0.096,1.812,4.087,9013.958,0.0
2022-01-22,98.168,-3.7,9.9,3.1,35.089,53.447,0.0,10.498,3.006,1.198,0.433,0.216,0.324,0.364,0.046,1.508,3.633,8893.0,0.0
2022-01-23,97.274,-1.0,10.8,4.9,49.639,78.258,0.0,10.611,3.148,2.028,0.359,0.258,0.324,0.363,0.513,1.55,3.379,8833.167,0.0
2022-01-24,96.748,-4.4,11.6,3.6,43.924,69.55,0.0,9.413,4.523,2.943,0.471,0.295,0.324,0.363,3.775,3.212,3.629,8786.958,0.0
2022-01-25,98.216,-11.9,-4.7,-8.3,44.097,79.278,0.0,8.421,2.775,2.047,0.145,0.29,0.323,0.363,1.925,3.254,4.225,8889.5,0.0
2022-01-26,98.2,-8.9,2.6,-3.15,33.155,60.97,0.0,9.52,4.02,0.254,0.263,0.287,0.323,0.363,1.112,2.383,3.958,8939.625,0.0
2022-01-27,98.018,-4.8,7.4,1.3,42.051,90.735,0.0,9.538,3.043,4.926,0.25,0.286,0.322,0.363,1.6,2.271,3.708,8886.458,0.0
2022-01-28,98.451,-5.8,2.4,-1.7,40.439,82.254,0.0,7.902,2.306,5.598,0.219,0.286,0.322,0.362,2.092,2.738,3.792,8864.833,0.0
2022-01-29,97.35,-2.9,14.8,5.95,23.316,73.182,0.0,11.918,3.358,0.408,0.52,0.285,0.321,0.362,2.417,2.858,3.879,8874.708,0.0
2022-01-30,97.374,-4.8,10.9,3.05,30.214,75.876,0.0,10.776,1.261,1.59,0.39,0.285,0.321,0.362,2.983,3.354,4.079,8808.75,0.0
2022-01-31,96.63,1.2,19.7,10.45,16.948,57.186,0.0,11.793,4.509,5.558,0.889,0.285,0.32,0.362,4.45,4.108,4.375,8766.25,0.0
2022-02-01,97.005,-4.2,11.5,3.65,40.688,79.783,0.0,5.673,4.688,2.14,0.39,0.284,0.32,0.363,5.279,5.212,4.971,8651.042,0.0
2022-02-02,98.034,-10.7,-5.1,-7.9,48.076,91.196,0.25,8.842,6.793,2.579,0.104,0.283,0.319,0.363,3.342,4.429,5.146,8780.167,0.0
2022-02-03,98.508,-16.4,-6.4,-11.4,42.542,61.963,0.76,12.563,3.736,0.035,0.119,0.282,0.319,0.362,2.675,3.692,4.875,8993.417,0.0
2022-02-04,98.559,-16.9,1.3,-7.8,54.987,73.195,0.5,12.836,2.234,5.153,0.136,0.282,0.319,0.362,2.283,3.283,4.587,9025.25,0.0
2022-02-05,97.835,-6.8,8.0,0.6,37.473,79.34,0.0,13.055,6.072,2.042,0.315,0.302,0.327,0.361,1.996,2.938,4.296,8955.125,0.0
2022-02-06,97.728,-4.2,9.8,2.8,44.825,82.813,0.0,11.987,3.189,4.447,0.292,0.327,0.346,0.363,2.392,2.812,4.025,8887.0,0.0
2022-02-07,97.892,-4.9,13.8,4.45,29.975,80.587,0.0,11.267,3.387,2.153,0.416,0.317,0.341,0.372,2.796,3.171,4.058,8855.25,0.0
2022-02-08,97.164,2.2,17.4,9.8,21.449,60.072,0.0,11.889,3.491,2.144,0.663,0.312,0.337,0.373,4.017,3.85,4.217,8786.0,0.0
2022-02-09,97.225,-0.7,14.0,6.65,26.461,56.343,0.0,12.653,2.521,3.188,0.593,0.305,0.333,0.373,4.396,4.479,4.646,8777.625,0.0
2022-02-10,97.168,-2.0,12.8,5.4,39.843,74.325,0.0,13.017,3.726,2.234,0.498,0.301,0.33,0.372,5.058,4.892,4.913,8808.542,0.0
2022-02-11,96.929,-4.4,11.3,3.45,38.831,75.639,0.0,10.193,5.704,4.806,0.533,0.298,0.329,0.372,6.558,5.904,5.383,8778.958,0.0
2022-02-12,98.432,-12.6,2.1,-5.25,39.65,68.992,0.0,13.82,3.268,1.236,0.221,0.295,0.327,0.371,3.467,4.854,5.638,8916.208,0.0
2022-02-13,98.02,-4.5,2.6,-0.95,36.523,68.352,0.0,14.016,3.512,1.63,0.288,0.295,0.327,0.37,3.458,4.112,5.15,8957.75,0.0
2022-02-14,97.769,-3.9,11.1,3.6,29.513,68.387,0.0,14.271,2.72,1.064,0.461,0.294,0.326,0.37,4.508,4.529,5.067,8892.542,0.0
2022-02-15,96.779,1.2,19.9,10.55,25.432,57.429,0.0,11.29,6.536,5.28,0.832,0.293,0.325,0.369,5.642,5.35,5.379,8762.542,0.0
2022-02-16,96.282,0.6,14.8,7.7,44.031,71.438,0.0,11.737,6.309,2.667,0.588,0.292,0.325,0.369,8.662,7.208,5.996,8687.208,0.0
2022-02-17,97.668,-9.0,-0.6,-4.8,23.353,60.212,0.0,7.085,5.194,3.089,0.252,0.291,0.324,0.37,5.621,6.738,6.7,8783.542,0.0
2022-02-18,97.694,-8.2,11.1,1.45,33.145,72.258,0.0,14.948,5.673,0.589,0.388,0.29,0.323,0.369,3.446,4.658,6.054,8905.375,0.0
2022-02-19,98.165,-6.9,4.8,-1.05,22.669,72.651,0.0,15.133,4.182,0.72,0.358,0.289,0.323,0.368,4.258,4.8,5.633,8908.667,0.0
2022-02-20,96.669,4.6,19.0,11.8,25.394,59.534,0.0,15.29,5.603,1.78,0.79,0.288,0.323,0.368,6.396,5.667,5.721,8807.542,0.0
2022-02-21,96.103,-5.9,20.9,7.5,26.809,82.916,0.0,13.836,4.977,0.933,0.593,0.288,0.322,0.368,8.121,7.329,6.438,8710.167,0.0
2022-02-22,97.537,-13.9,-6.5,-10.2,56.959,87.398,0.0,11.447,5.525,1.179,0.067,0.287,0.322,0.368,4.058,6.092,6.804,8883.958,0.0
2022-02-23,98.705,-17.4,-6.7,-12.05,43.265,73.237,0.0,14.101,3.768,5.62,0.1,0.265,0.322,0.367,1.129,3.579,5.875,9060.292,0.0
2022-02-24,98.015,-13.8,-8.2,-11.0,67.334,87.901,0.0,6.503,2.67,3.656,0.055,0.229,0.321,0.366,0.446,2.458,4.904,8997.083,0.0
2022-02-25,98.765,-17.5,-2.3,-9.9,41.852,96.569,0.0,15.879,1.404,5.39,0.111,0.216,0.321,0.365,0.071,1.879,4.271,9015.625,0.0
2022-02-26,98.562,-12.6,4.8,-3.9,30.675,88.827,0.0,16.118,1.497,3.478,0.253,0.24,0.321,0.364,0.212,1.725,3.825,8978.083,0.0
2022-02-27,98.19,-6.6,12.7,3.05,18.112,61.567,0.0,16.114,2.372,1.098,0.525,0.282,0.32,0.364,1.617,2.179,3.688,8894.792,0.0
2022-02-28,97.646,0.5,19.3,9.9,16.146,39.681,0.0,15.752,2.61,3.722,0.885,0.282,0.32,0.364,4.533,3.842,4.075,8776.708,0.0
2022-03-01,97.382,6.4,23.9,15.15,18.995,38.88,0.0,15.126,3.094,5.482,1.245,0.28,0.32,0.365,7.188,5.913,4.975,8668.25,0.0
2022-03-02,97.346,8.5,27.0,17.75,20.229,40.819,0.0,16.221,2.337,2.082,1.44,0.279,0.32,0.365,9.275,7.675,6.062,8590.625,0.0
2022-03-03,97.681,2.5,15.7,9.1,38.016,91.976,0.0,16.098,3.595,4.941,0.479,0.278,0.319,0.366,9.846,8.838,7.133,8642.958,0.0
2022-03-04,96.971,4.4,21.7,13.05,40.936,79.025,0.0,8.995,5.272,4.384,0.695,0.277,0.319,0.367,9.688,8.987,7.762,8624.833,0.0
2022-03-05,96.243,0.1,25.0,12.55,30.337,87.368,0.76,14.525,7.592,0.087,0.582,0.276,0.319,0.367,11.938,10.288,8.333,8596.708,0.0
2022-03-06,97.421,-4.3,1.8,-1.25,56.877,98.142,0.0,7.218,3.517,4.401,0.118,0.274,0.318,0.367,7.712,9.021,8.821,8711.708,0.0
