datetime,pressure,tavg,rhavg,prcp,srad,wspd,wdir,vpd,vwc_5cm,vwc_20cm,vwc_40cm,soiltemp_5cm,soiltemp_20cm,soiltemp_40cm,battv,discharge
2022-01-01 00:00:00,96.4,-4.4,98.012,0.0,,5.94,0.717,0.01,0.257,0.307,0.359,5.2,6.7,7.6,8745.0,0.0
2022-01-01 01:00:00,96.39,-5.2,97.873,0.0,,6.22,4.717,0.01,0.257,0.307,0.359,4.9,6.6,7.6,8719.0,0.0
2022-01-01 02:00:00,96.44,-6.1,95.025,0.0,,5.56,0.717,0.02,0.257,0.307,0.359,4.7,6.5,7.6,8719.0,0.0
2022-01-01 03:00:00,96.43,-6.9,93.917,0.0,,6.47,6.0,0.02,0.257,0.307,0.359,4.4,6.4,7.6,8713.0,0.0
2022-01-01 04:00:00,96.43,-7.9,91.103,0.0,,6.78,4.0,0.03,0.257,0.307,0.359,4.2,6.3,7.6,8708.0,0.0
2022-01-01 05:00:00,96.45,-9.8,90.604,0.0,,6.6,3.0,0.03,0.257,0.307,0.359,3.8,6.2,7.6,8706.0,0.0
2022-01-01 06:00:00,96.49,-10.8,90.27,0.0,,6.4,6.0,0.03,0.257,0.307,0.359,3.5,6.0,7.6,8696.0,0.0
2022-01-01 07:00:00,96.45,-11.6,90.681,0.25,,6.43,6.0,0.02,0.257,0.307,0.359,3.2,5.9,7.6,8690.0,0.0
2022-01-01 08:00:00,96.47,-12.1,88.2,0.0,0.001,6.06,0.717,0.03,0.257,0.307,0.359,2.9,5.8,7.6,8685.0,0.0
2022-01-01 09:00:00,96.64,-12.5,89.392,0.0,0.035,5.72,1.0,0.03,0.257,0.307,0.359,2.6,5.6,7.6,8680.0,0.0
2022-01-01 10:00:00,96.7,-13.2,91.461,0.0,0.121,5.86,0.858,0.02,0.257,0.307,0.359,2.4,5.4,7.5,8681.0,0.0
2022-01-01 11:00:00,96.83,-14.2,89.936,0.0,0.224,5.88,0.142,0.02,0.257,0.307,0.359,2.3,5.3,7.5,8697.0,0.0
