date,cs655,cs229
4/20/2012,0.297,0.324
4/21/2012,0.288,0.31
4/22/2012,0.268,0.29
4/23/2012,0.247,0.264
4/24/2012,0.225,0.235
4/25/2012,0.2,0.196
4/26/2012,0.179,0.167
4/27/2012,0.163,0.152
4/28/2012,0.152,0.144
4/29/2012,0.16,0.144
4/30/2012,0.266,0.214
5/1/2012,0.257,0.252
5/2/2012,0.224,0.248
5/3/2012,0.191,0.226
5/4/2012,0.166,0.188
5/5/2012,0.154,0.163
5/6/2012,0.144,0.144
5/7/2012,0.137,0.138
5/8/2012,0.134,0.135
5/9/2012,0.131,0.132
5/10/2012,0.128,0.129
5/11/2012,0.124,0.127
5/12/2012,0.126,0.127
5/13/2012,0.128,0.127
5/14/2012,0.127,0.126
5/15/2012,0.127,0.126
5/16/2012,0.125,0.124
5/17/2012,0.121,0.123
5/18/2012,0.118,0.122
5/19/2012,0.115,0.121
5/20/2012,0.111,0.12
5/21/2012,0.114,0.119
5/22/2012,0.115,0.119
5/23/2012,0.115,0.119
5/24/2012,0.112,0.119
5/25/2012,0.111,0.119
5/26/2012,0.11,0.119
5/27/2012,0.109,0.118
5/28/2012,0.135,0.127
5/29/2012,0.263,0.278
5/30/2012,0.231,0.296
5/31/2012,0.194,0.291
6/1/2012,0.18,0.282
6/2/2012,0.187,0.286
6/3/2012,0.235,0.31
6/4/2012,0.203,0.327
6/5/2012,0.157,0.313
6/6/2012,0.207,0.31
6/7/2012,0.269,0.345
6/8/2012,0.228,0.343
6/9/2012,0.179,0.333
6/10/2012,0.144,0.31
6/11/2012,0.131,0.278
6/12/2012,0.125,0.236
6/13/2012,0.122,0.199
6/14/2012,0.12,0.172
6/15/2012,0.284,0.332
6/16/2012,0.253,0.344
6/17/2012,0.212,0.336
6/18/2012,0.165,0.313
6/19/2012,0.138,0.272
6/20/2012,0.128,0.223
6/21/2012,0.233,0.289
6/22/2012,0.278,0.345
6/23/2012,0.221,0.335
6/24/2012,0.171,0.309
6/25/2012,0.142,0.257
6/26/2012,0.131,0.198
6/27/2012,0.126,0.167
6/28/2012,0.121,0.152
6/29/2012,0.118,0.144
6/30/2012,0.115,0.139
7/1/2012,0.112,0.136
7/2/2012,0.111,0.133
7/3/2012,0.11,0.131
7/4/2012,0.108,0.129
7/5/2012,0.107,0.127
7/6/2012,0.106,0.126
7/7/2012,0.105,0.124
7/8/2012,0.107,0.124
7/9/2012,0.111,0.125
7/10/2012,0.111,0.125
7/11/2012,0.109,0.124
7/12/2012,0.107,0.124
7/13/2012,0.105,0.123
7/14/2012,0.106,0.123
7/15/2012,0.107,0.123
7/16/2012,0.106,0.122
7/17/2012,0.104,0.122
7/18/2012,0.103,0.122
7/19/2012,0.102,0.121
7/20/2012,0.101,0.12
7/21/2012,0.099,0.119
7/22/2012,0.098,0.119
7/23/2012,0.098,0.118
7/24/2012,0.097,0.118
7/25/2012,0.097,0.118
7/26/2012,0.096,0.117
7/27/2012,0.096,0.117
7/28/2012,0.096,0.117
7/29/2012,0.095,0.117
7/30/2012,0.094,0.116
7/31/2012,0.093,0.116
8/1/2012,0.092,0.115
8/2/2012,0.092,0.115
8/3/2012,0.09,0.115
8/4/2012,0.09,0.115
8/5/2012,0.089,0.115
8/6/2012,0.089,0.114
8/7/2012,0.088,0.114
8/8/2012,0.088,0.114
8/9/2012,0.087,0.114
8/10/2012,0.086,0.113
8/11/2012,0.085,0.113
8/12/2012,0.086,0.113
8/13/2012,0.085,0.113
8/14/2012,0.084,0.112
8/15/2012,0.094,0.113
8/16/2012,0.098,0.115
8/17/2012,0.096,0.115
8/18/2012,0.128,0.118
8/19/2012,0.153,0.124
8/20/2012,0.132,0.125
8/21/2012,0.119,0.125
8/22/2012,0.111,0.123
8/23/2012,0.105,0.121
8/24/2012,0.101,0.12
8/25/2012,0.148,0.125
8/26/2012,0.296,0.253
8/27/2012,0.256,0.286
8/28/2012,0.223,0.293
8/29/2012,0.192,0.29
8/30/2012,0.162,0.28
8/31/2012,0.14,0.265
9/1/2012,0.129,0.243
9/2/2012,0.121,0.211
9/3/2012,0.115,0.179
9/4/2012,0.11,0.155
9/5/2012,0.107,0.147
9/6/2012,0.104,0.143
9/7/2012,0.103,0.141
9/8/2012,0.103,0.138
9/9/2012,0.104,0.136
9/10/2012,0.103,0.134
9/11/2012,0.101,0.132
9/12/2012,0.1,0.131
9/13/2012,0.098,0.129
9/14/2012,0.202,0.128
9/15/2012,0.208,0.132
9/16/2012,0.189,0.137
9/17/2012,0.164,0.142
9/18/2012,0.139,0.144
9/19/2012,0.123,0.143
9/20/2012,0.117,0.141
9/21/2012,0.116,0.137
9/22/2012,0.112,0.133
9/23/2012,0.108,0.131
9/24/2012,0.106,0.13
9/25/2012,0.105,0.129
9/26/2012,0.103,0.128
9/27/2012,0.159,0.128
9/28/2012,0.173,0.131
9/29/2012,0.165,0.135
9/30/2012,0.158,0.138
10/1/2012,0.15,0.136
10/2/2012,0.144,0.134
10/3/2012,0.138,0.131
10/4/2012,0.132,0.129
10/5/2012,0.127,0.128
10/6/2012,0.122,0.127
10/7/2012,0.119,0.125
10/8/2012,0.118,0.124
10/9/2012,0.116,0.124
10/10/2012,0.114,0.123
10/11/2012,0.112,0.123
10/12/2012,0.176,0.128
10/13/2012,0.225,0.137
10/14/2012,0.233,0.163
10/15/2012,0.211,0.192
10/16/2012,0.198,0.201
10/17/2012,0.189,0.205
10/18/2012,0.177,0.199
10/19/2012,0.169,0.197
10/20/2012,0.163,0.195
10/21/2012,0.159,0.193
10/22/2012,0.154,0.184
10/23/2012,0.149,0.174
10/24/2012,0.144,0.163
10/25/2012,0.138,0.154
10/26/2012,0.134,0.147
10/27/2012,0.131,0.143
10/28/2012,0.127,0.14
10/29/2012,0.126,0.136
10/30/2012,0.124,0.134
10/31/2012,0.121,0.131
11/1/2012,0.118,0.129
11/2/2012,0.116,0.127
11/3/2012,0.113,0.125
11/4/2012,0.11,0.124
11/5/2012,0.109,0.122
11/6/2012,0.107,0.121
11/7/2012,0.106,0.12
11/8/2012,0.105,0.119
11/9/2012,0.104,0.12
11/10/2012,0.104,0.12
11/11/2012,0.204,0.121
11/12/2012,0.228,0.127
11/13/2012,0.215,0.134
11/14/2012,0.204,0.144
11/15/2012,0.195,0.156
11/16/2012,0.187,0.166
11/17/2012,0.18,0.171
11/18/2012,0.174,0.176
11/19/2012,0.17,0.183
11/20/2012,0.165,0.186
11/21/2012,0.16,0.188
11/22/2012,0.156,0.194
11/23/2012,0.15,0.192
11/24/2012,0.145,0.189
11/25/2012,0.142,0.191
11/26/2012,0.138,0.191
11/27/2012,0.135,0.189
11/28/2012,0.133,0.188
11/29/2012,0.131,0.19
11/30/2012,0.129,0.19
12/1/2012,0.127,0.191
12/2/2012,0.125,0.19
12/3/2012,0.124,0.191
12/4/2012,0.121,0.186
12/5/2012,0.118,0.181
12/6/2012,0.117,0.179
12/7/2012,0.115,0.178
12/8/2012,0.114,0.174
12/9/2012,0.113,0.171
12/10/2012,0.111,0.165
12/11/2012,0.111,0.162
12/12/2012,0.11,0.16
12/13/2012,0.11,0.159
12/14/2012,0.109,0.157
12/15/2012,0.109,0.155
12/16/2012,0.109,0.152
12/17/2012,0.109,0.149
12/18/2012,0.109,0.147
12/19/2012,0.109,0.146
12/20/2012,0.107,0.144
12/21/2012,0.106,0.141
12/22/2012,0.106,0.14
12/23/2012,0.105,0.139
12/24/2012,0.104,0.137
12/25/2012,0.103,0.135
12/26/2012,0.102,0.133
12/27/2012,0.102,0.132
12/28/2012,0.102,0.131
12/29/2012,0.102,0.13
12/30/2012,0.102,0.129
12/31/2012,0.162,0.129
1/1/2013,0.203,0.131
1/2/2013,0.183,0.133
1/3/2013,0.183,0.137
1/4/2013,0.174,0.14
1/5/2013,0.182,0.147
1/6/2013,0.178,0.152
1/7/2013,0.174,0.156
1/8/2013,0.174,0.161
1/9/2013,0.173,0.167
1/10/2013,0.231,0.173
1/11/2013,0.234,0.178
1/12/2013,0.22,0.183
1/13/2013,0.198,0.184
1/14/2013,0.168,0.189
1/15/2013,0.187,0.197
1/16/2013,0.173,0.201
1/17/2013,0.198,0.209
1/18/2013,0.197,0.214
