STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
ACME,Acme,OK,34.81,-98.02,2019,4,15,15,20, , , , , , , , , , , , 
ADAX,Ada,OK,34.8,-96.67,2019,4,15,15,20,78,51,40, , ,S,12,20,1011.13,78,48, 
ALTU,Altus,OK,34.59,-99.34,2019,4,15,15,20,82,55,39, ,82,SSW,19,26,1007.86,82,45, 
ALV2,Alva,OK,36.71,-98.71,2019,4,15,15,20,83,51,32, ,82,S,20,26,1004.65,84,40, 
ANT2,Antlers,OK,34.25,-95.67,2019,4,15,15,20,78,49,35, , ,S,11,20,1013.64,78,38, 
APAC,Apache,OK,34.91,-98.29,2019,4,15,15,20,80,54,41, , ,S,23,29,1008.9,80,49, 
ARD2,Ardmore,OK,34.19,-97.09,2019,4,15,15,20,77,52,41, , ,S,18,26,1011.43,77,50, 
ARNE,Arnett,OK,36.07,-99.9,2019,4,15,15,20,89,25,10, ,85,SW,22,32,1005.13, , , 
BEAV,Beaver,OK,36.8,-100.53,2019,4,15,15,20,88,22,9, ,84,SW,17,26,1003.9,91,34, 
BESS,Bessie,OK,35.4,-99.06,2019,4,15,15,20,79,53,41, , ,S,27,35,1006.98,80,44, 
BIXB,Bixby,OK,35.96,-95.87,2019,4,15,15,20,79,50,36, , ,SSW,21,30,1009.37,80,44, 
BLAC,Blackwell,OK,36.75,-97.25,2019,4,15,15,20,79,51,38, , ,SSW,15,23,1007.02,80,44, 
BOIS,Boise City,OK,36.69,-102.5,2019,4,15,15,20,80,21,11, ,78,WSW,24,31,1006.68,81,35, 
BREC,Breckinridge,OK,36.41,-97.69,2019,4,15,15,20,77,53,44, , ,S,21,29,1007.3,77,48, 
BRIS,Bristow,OK,35.78,-96.35,2019,4,15,15,20,79,52,39, , ,S,15,26,1009.22,79,48, 
BROK,Broken Bow,OK,34.04,-94.62,2019,4,15,15,20,77,48,35, , ,S,10,18,1014.98,77,38, 
BUFF,Buffalo,OK,36.83,-99.64,2019,4,15,15,20,90,39,17, ,86,S,11,19,1003.33,90,37, 
BURB,Burbank,OK,36.63,-96.81,2019,4,15,15,20,78,51,38, , ,SSW,18,27,1007.67,79,45, 
BURN,Burneyville,OK,33.89,-97.27,2019,4,15,15,20,77,53,43, , ,S,14,21,1011.68,79,51, 
BUTL,Butler,OK,35.59,-99.27,2019,4,15,15,20,83,51,33, ,81,S,26,35,1006.4,83,46, 
BYAR,Byars,OK,34.85,-97,2019,4,15,15,20,77,53,43, , ,S,22,32,1010.64,77,49, 
CAMA,Camargo,OK,36.03,-99.35,2019,4,15,15,20,83,50,32, ,82,S,23,29,1005.56, , , 
CARL,Lake Carl Blackwell,OK,36.15,-97.29,2019,4,15,15,20,80,51,36, ,80,S,17,25,1007.56,80,50, 
CENT,Centrahoma,OK,34.61,-96.33,2019,4,15,15,20,77,51,40, , ,S,19,26,1011.7,77,44, 
CHAN,Chandler,OK,35.65,-96.8,2019,4,15,15,20,79,50,37, , ,SSW,16,27,1009.35,80,48, 
CHER,Cherokee,OK,36.75,-98.36,2019,4,15,15,20,81,53,39, ,80,S,19,29,1005.39,82,46, 
CHEY,Cheyenne,OK,35.55,-99.73,2019,4,15,15,20,82,48,31, ,80,S,24,31,1006.45,83,46, 
CHIC,Chickasha,OK,35.03,-97.91,2019,4,15,15,20,78,54,43, , ,S,22,30,1008.86,78,46, 
CLAY,Clayton,OK,34.66,-95.33,2019,4,15,15,20,78,49,36, , ,S,9,24,1012.9,78,40, 
CLOU,Cloudy,OK,34.22,-95.25,2019,4,15,15,20,75,48,39, , ,S,11,19,1014.47,76,41, 
COOK,Cookson,OK,35.68,-94.85,2019,4,15,15,20,76,48,37, , ,S,17,28,1011.52,76,43, 
COPA,Copan,OK,36.91,-95.89,2019,4,15,15,20,78,50,37, , ,S,20,30,1008.05,79,47, 
DURA,Durant,OK,33.92,-96.32,2019,4,15,15,20,76,51,41, , ,S,18,28,1013.08,77,49, 
ELKC,Elk City,OK,35.33,-99.39,2019,4,15,15,20,81,52,36, ,81,S,24,34,1006.78,81,44, 
ELRE,El Reno,OK,35.55,-98.04,2019,4,15,15,20,79,54,43, , ,S,23,29,1008.4,79,47, 
ERIC,Erick,OK,35.2,-99.8,2019,4,15,15,20,81,52,36, ,80,S,20,28,1006.71,82,42, 
EUFA,Eufaula,OK,35.3,-95.66,2019,4,15,15,20,78,50,38, , ,S,24,31,1010.67,78,48, 
EVAX,Eva,OK,36.92,-101.78,2019,4,15,15,20,83,18,9, ,80,WSW,18,25,1005.28,86,37, 
FAIR,Fairview,OK,36.26,-98.5,2019,4,15,15,20,80,55,42, , ,SSW,21,29,1005.71,80,40, 
FITT,Fittstown,OK,34.55,-96.72,2019,4,15,15,20,76,49,38, , ,S,25,33,1011.64,77,47, 
FORA,Foraker,OK,36.84,-96.43,2019,4,15,15,20,79,47,32, , ,S,24,30,1007.78,80,45, 
FREE,Freedom,OK,36.73,-99.14,2019,4,15,15,20,86,45,24, ,83,S,22,28,1004.17,86,40, 
FTCB,Fort Cobb,OK,35.15,-98.47,2019,4,15,15,20,78,51,39, , ,S,24,31,1008.44,80,48, 
GOOD,Goodwell,OK,36.6,-101.6,2019,4,15,15,20,86,27,12, ,82,SW,21,28,1004.77,86,39, 
GRA2,Grandfield,OK,34.24,-98.74,2019,4,15,15,20,81,57,44, ,81,SSW,19,26,1009.07,81,44, 
GUTH,Guthrie,OK,35.85,-97.48,2019,4,15,15,20,79,51,37, , ,S,19,28,1007.96,79,50, 
