MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220913,20161,Riley County,KS,0.00,100.00,0.00,0.00,0.00,0.00,2022-09-13,2022-09-19,1
20220906,20161,Riley County,KS,0.00,100.00,0.00,0.00,0.00,0.00,2022-09-06,2022-09-12,1
20220830,20161,Riley County,KS,81.02,18.98,0.00,0.00,0.00,0.00,2022-08-30,2022-09-05,1
20220823,20161,Riley County,KS,99.54,0.46,0.00,0.00,0.00,0.00,2022-08-23,2022-08-29,1
20220816,20161,Riley County,KS,78.90,21.10,0.00,0.00,0.00,0.00,2022-08-16,2022-08-22,1
20220809,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-08-09,2022-08-15,1
20220802,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-08-02,2022-08-08,1
20220726,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-26,2022-08-01,1
20220719,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-19,2022-07-25,1
20220712,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-12,2022-07-18,1
20220705,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-07-05,2022-07-11,1
20220628,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-28,2022-07-04,1
20220621,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-21,2022-06-27,1
20220614,20161,Riley County,KS,100.00,0.00,0.00,0.00,0.00,0.00,2022-06-14,2022-06-20,1
20220607,20161,Riley County,KS,84.28,15.72,0.00,0.00,0.00,0.00,2022-06-07,2022-06-13,1
20220531,20161,Riley County,KS,86.82,13.18,0.00,0.00,0.00,0.00,2022-05-31,2022-06-06,1
20220524,20161,Riley County,KS,20.49,79.51,12.18,0.00,0.00,0.00,2022-05-24,2022-05-30,1
20220517,20161,Riley County,KS,20.49,79.51,12.18,0.00,0.00,0.00,2022-05-17,2022-05-23,1
20220510,20161,Riley County,KS,20.49,79.51,12.18,0.00,0.00,0.00,2022-05-10,2022-05-16,1
20220503,20161,Riley County,KS,20.49,79.51,12.18,0.00,0.00,0.00,2022-05-03,2022-05-09,1
20220426,20161,Riley County,KS,17.86,82.14,24.39,5.26,0.00,0.00,2022-04-26,2022-05-02,1
20220419,20161,Riley County,KS,53.86,46.14,24.39,5.27,0.00,0.00,2022-04-19,2022-04-25,1
