site,soil_texture,vwc_sensor,period,bulk_density,vwc_obs
Moundridge_bottomslope,loam,1.7,2040,1.34,0.023
Moundridge_bottomslope,loam,14.9,2295,1.30,0.149
Moundridge_bottomslope,loam,14.4,2290,1.18,0.165
Moundridge_bottomslope,loam,44.65,2915,1.27,0.316
Moundridge_bottomslope,loam,64,3315,1.49,0.328
Moundridge_bottomslope,loam,76.55,3570,1.39,0.409
Moundridge_bottomslope,loam,66,3350,1.39,0.474
Moundridge_upslope_subsurf,silty clay,1.2,2030,1.29,0.013
Moundridge_upslope_subsurf,silty clay,1.7,2045,1.40,0.032
Moundridge_upslope_subsurf,silty clay,15.4,2325,1.23,0.145
Moundridge_upslope_subsurf,silty clay,14.65,2300,1.13,0.149
Moundridge_upslope_subsurf,silty clay,34.1,2695,1.00,0.241
Moundridge_upslope_subsurf,silty clay,46.1,2945,1.21,0.287
Moundridge_upslope_subsurf,silty clay,84.6,3735,1.23,0.408
Moundridge_upslope_subsurf,silty clay,93,3900,1.28,0.533
Moundridge_upslope_surf,silty clay loam,1.95,2050,1.42,0.024
Moundridge_upslope_surf,silty clay loam,1.95,2040,1.35,0.025
Moundridge_upslope_surf,silty clay loam,18.35,2380,1.26,0.142
Moundridge_upslope_surf,silty clay loam,28.9,2590,1.37,0.174
Moundridge_upslope_surf,silty clay loam,36.75,2750,1.29,0.263
Moundridge_upslope_surf,silty clay loam,55.4,3140,1.29,0.305
Moundridge_upslope_surf,silty clay loam,69.15,3430,1.24,0.432
Moundridge_upslope_surf,silty clay loam,75.3,3560,1.32,0.446
Rocky Ford,silt loam,2.9,2065,1.37,0.032
Rocky Ford,silt loam,3.6,2080,1.39,0.033
Rocky Ford,silt loam,20.55,2425,1.36,0.148
Rocky Ford,silt loam,22.8,2470,1.37,0.179
Rocky Ford,silt loam,39.45,2805,1.39,0.303
Rocky Ford,silt loam,42.65,2865,1.36,0.331
Rocky Ford,silt loam,67.95,3400,1.42,0.448
Rocky Ford,silt loam,60.6,3210,1.35,0.451
Sand,sand,0.6,2030,1.71,0.002
Sand,sand,1.45,2030,1.70,0.003
Sand,sand,6.35,2140,1.56,0.134
Sand,sand,7.85,2160,1.60,0.149
Sand,sand,29.9,2620,1.59,0.280
Sand,sand,29.45,2605,1.59,0.280
Sand,sand,27.95,2565,1.63,0.285
Sand,sand,32.35,2670,1.76,0.299
