Observations of water-filled porosity and matric potential at which maximum soil respiration (Fmax) occurred in soil samples from three land covers. Data collected by Nishadini Widanagame in laboratory conditions in 2023 at Kansas State University,,,,,
site,cover,sample,wfp,mat,Fmax
1,cropland,1,0.9,3.18,1.2
1,cropland,2,0.88,4.09,1.99
1,cropland,3,0.77,16.87,1.72
1,riparian,4,0.75,6.51,1.98
1,riparian,5,0.8,2.44,1.72
1,riparian,6,0.78,3.42,1.9
2,cropland,4,0.79,9.61,0.76
2,cropland,5,0.78,9.73,0.76
2,cropland,6,0.77,12,0.67
2,riparian,1,0.66,10.05,0.83
2,riparian,2,0.82,4.43,1.28
2,riparian,3,0.72,7.72,0.6
3,cropland,4,0.76,11.78,1.02
3,cropland,5,0.84,3.01,2.13
3,cropland,6,0.96,0.63,1.71
3,riparian,1,0.77,3.52,1.2
3,riparian,2,0.75,3.04,1.62
3,riparian,3,0.78,2.02,0.93
4,cropland,1,0.84,3.71,0.62
4,cropland,2,0.85,3.16,0.62
4,cropland,3,0.9,2.72,0.4
4,grassland,4,0.82,4.59,1.76
4,grassland,5,0.88,1.58,1.46
4,grassland,6,0.86,3.8,2.02
5,cropland,1,0.77,16.92,0.44
5,cropland,2,0.81,20.27,0.57
5,cropland,3,0.88,8.32,0.53
5,grassland,4,0.82,8.72,2.04
5,grassland,5,0.81,9.2,1.84
5,grassland,6,0.82,10.1,1.56
6,cropland,4,0.91,2.73,0.58
6,cropland,5,0.86,3.37,0.68
6,cropland,6,0.82,5.4,0.61
6,grassland,1,0.77,5.6,2.32
6,grassland,2,0.84,3.19,1.59
6,grassland,3,0.73,3.45,2.27
7,grassland,1,0.79,6.97,1.29
7,grassland,2,0.78,6.28,1.02
7,grassland,3,0.79,16.18,2.23
7,riparian,4,0.83,1.87,3.78
7,riparian,5,0.8,2.53,2.5
7,riparian,6,0.79,1.37,2.96
8,grassland,4,0.86,1.23,2.03
8,grassland,5,0.86,1.7,2.65
8,grassland,6,0.85,2.46,2.19
8,riparian,1,0.75,4.41,0.93
8,riparian,2,0.77,3.37,1.03
8,riparian,3,0.79,1.96,0.86
9,grassland,4,0.86,5.11,2.04
9,grassland,5,0.8,5.3,1.64
9,grassland,6,0.86,16.2,1.95
9,riparian,1,0.79,1.64,1.86
9,riparian,2,0.81,2.6,1.74
9,riparian,3,0.78,5.42,1.75
