matric,theta
0.001,44.8
0.001,44.8
0.056,44.8
0.173,44.7
0.286,44.7
0.414,44.7
0.564,44.6
0.735,44.6
0.923,44.5
1.138,44.4
1.387,44.4
1.660,44.3
1.936,44.2
2.249,44.1
2.600,44.0
2.951,43.9
3.112,43.8
3.206,43.7
3.428,43.6
3.648,43.5
3.664,43.3
3.793,43.2
4.036,43.1
4.217,42.9
4.477,42.8
4.732,42.6
4.966,42.5
5.224,42.3
5.483,42.1
5.768,42.0
6.067,41.8
6.368,41.6
6.699,41.4
7.063,41.2
7.430,41.0
7.834,40.8
8.241,40.6
8.670,40.4
9.099,40.2
9.594,40.0
10.139,39.8
10.691,39.6
11.220,39.4
11.803,39.1
12.388,38.9
13.002,38.6
13.614,38.4
14.256,38.2
14.928,37.9
15.631,37.6
16.331,37.4
17.061,37.1
17.824,36.8
18.578,36.6
19.364,36.3
20.230,36.0
21.086,35.7
21.979,35.4
22.909,35.1
23.933,34.8
25.003,34.5
26.122,34.2
27.353,33.9
28.708,33.6
30.130,33.3
31.696,33.0
33.420,32.7
35.318,32.4
37.411,32.1
39.811,31.8
42.560,31.4
45.499,31.1
48.753,30.8
52.360,30.5
56.364,30.1
60.674,29.8
65.464,29.5
68.234,29.2
69.984,28.8
72.778,28.5
75.509,28.2
78.163,27.9
80.538,27.6
82.985,27.3
840.000,3.8
930.000,2.7
8370.000,1.4
25830.000,1.0
