TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,,Sensor
7/12/19 7:23,1133,ZONE 00078,39.11052,-96.61107,36.83,1.6819,1.5254,21.9416,CD659 12cm rods,,2799
7/12/19 7:24,1134,"ZONE 00078, ZONE 00079",39.1105,-96.61136,40.26,1.7429,1.804,25.2244,CD659 12cm rods,,2799
7/12/19 7:25,1135,ZONE 00079,39.11044,-96.61194,30.73,1.5892,1.5982,17.1237,CD659 12cm rods,,2799
7/12/19 7:26,1136,ZONE 00079,39.11045,-96.61223,37.84,1.7011,1.754,22.8498,CD659 12cm rods,,2799
7/12/19 7:26,1137,"ZONE 00079, ZONE 00080",39.11042,-96.61243,34.89,1.6513,1.593,20.289,CD659 12cm rods,,2799
7/12/19 7:27,1138,"ZONE 00079, ZONE 00080",39.11039,-96.61276,34.35,1.6423,1.5625,19.8429,CD659 12cm rods,,2799
7/12/19 7:27,1139,ZONE 00080,39.11038,-96.61308,28.65,1.5587,1.5647,15.7016,CD659 12cm rods,,2799
7/12/19 7:28,1140,"ZONE 00080, ZONE 00081",39.11037,-96.6134,28.06,1.5451,1.3757,15.3116,CD659 12cm rods,,2799
7/12/19 7:28,1141,"ZONE 00080, ZONE 00081",39.11034,-96.61372,25.16,1.4999,1.2049,13.5059,CD659 12cm rods,,2799
7/12/19 7:29,1142,ZONE 00081,39.1103,-96.614,27.13,1.5293,1.2354,14.7173,CD659 12cm rods,,2799
7/12/19 7:30,1143,ZONE 00081,39.11027,-96.6143,24.26,1.4863,1.1832,12.9719,CD659 12cm rods,,2799
7/12/19 7:30,1144,ZONE 00081,39.11022,-96.61461,23.52,1.4761,1.2155,12.5418,CD659 12cm rods,,2799
7/12/19 7:31,1145,ZONE 00081,39.11023,-96.61485,30.31,1.5779,1.3392,16.8293,CD659 12cm rods,,2799
7/12/19 7:32,1146,ZONE 00081,39.10997,-96.61478,30.48,1.5801,1.3158,16.9436,CD659 12cm rods,,2799
7/12/19 7:32,1147,ZONE 00081,39.10999,-96.61452,20.8,1.4366,1.1995,11.0334,CD659 12cm rods,,2799
7/12/19 7:33,1148,ZONE 00081,39.11003,-96.61411,28.58,1.5507,1.2155,15.6527,CD659 12cm rods,,2799
7/12/19 7:33,1149,"ZONE 00080, ZONE 00081",39.11006,-96.61381,29.85,1.5711,1.3559,16.5075,CD659 12cm rods,,2799
7/12/19 7:34,1150,"ZONE 00080, ZONE 00081",39.11007,-96.61346,34.3,1.64,1.3687,19.8082,CD659 12cm rods,,2799
7/12/19 7:35,1151,ZONE 00080,39.11008,-96.61313,33.93,1.6344,1.4464,19.5084,CD659 12cm rods,,2799
7/12/19 7:35,1152,"ZONE 00079, ZONE 00080",39.11012,-96.61282,23.27,1.475,1.3064,12.3992,CD659 12cm rods,,2799
7/12/19 7:36,1153,"ZONE 00079, ZONE 00080",39.11013,-96.6125,36.14,1.6706,1.533,21.338,CD659 12cm rods,,2799
7/12/19 7:36,1154,ZONE 00079,39.11016,-96.61217,35.37,1.6581,1.5332,20.6843,CD659 12cm rods,,2799
7/12/19 7:37,1155,ZONE 00079,39.1102,-96.61185,35.92,1.6683,1.6387,21.1505,CD659 12cm rods,,2799
7/12/19 7:37,1156,"ZONE 00078, ZONE 00079",39.11022,-96.61153,42.14,1.7768,1.8062,27.261,CD659 12cm rods,,2799
7/12/19 7:38,1157,"ZONE 00078, ZONE 00079",39.1103,-96.61116,31.07,1.5914,1.4914,17.3617,CD659 12cm rods,,2799
7/12/19 7:38,1158,ZONE 00078,39.11029,-96.61096,37.37,1.692,1.6694,22.4196,CD659 12cm rods,,2799
7/12/19 7:45,1159,ZONE 00078,39.11003,-96.61077,33.74,1.6344,1.6318,19.3661,CD659 12cm rods,,2799
