TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,,sensor
7/22/19 7:21,658,ZONE 00009,39.10897,-96.61092,,0.8172,1.8233,9999999,CD659 12cm rods,,3543
7/22/19 7:22,659,[Unspecified Zone],39.10954,-96.61092,39.29,1.7101,1.98,24.2405,CD659 12cm rods,,3543
7/22/19 7:24,660,"ZONE 00001, ZONE 00011",39.11005,-96.61097,23.89,1.4682,1.4138,12.7539,CD659 12cm rods,,3543
7/22/19 7:25,661,"ZONE 00001, ZONE 00011",39.11045,-96.6111,27.05,1.5134,1.4625,14.6645,CD659 12cm rods,,3543
7/22/19 7:30,662,"ZONE 00001, ZONE 00002",39.11089,-96.61125,31.5,1.5767,1.4589,17.6707,CD659 12cm rods,,3543
7/22/19 7:31,663,ZONE 00002,39.11136,-96.61145,20.21,1.4129,1.303,10.7176,CD659 12cm rods,,3543
7/22/19 7:33,664,"ZONE 00002, ZONE 00003",39.11187,-96.61163,25.53,1.4897,1.3898,13.7233,CD659 12cm rods,,3543
7/22/19 7:34,665,ZONE 00003,39.1118,-96.61199,10.98,1.2682,1.1149,6.282899,CD659 12cm rods,,3543
7/22/19 7:35,666,"ZONE 00002, ZONE 00003",39.11133,-96.61189,13.07,1.3032,1.159,7.2177,CD659 12cm rods,,3543
7/22/19 7:36,667,"ZONE 00002, ZONE 00011",39.11085,-96.61179,14.75,1.3292,1.1803,7.995501,CD659 12cm rods,,3543
7/22/19 7:37,668,"ZONE 00001, ZONE 00011",39.11036,-96.61166,18.92,1.3925,1.253,10.0468,CD659 12cm rods,,3543
7/22/19 7:39,669,ZONE 00011,39.10986,-96.61149,16.37,1.3552,1.2258,8.7696,CD659 12cm rods,,3543
7/22/19 7:40,670,ZONE 00009,39.10934,-96.61134,27.79,1.5236,1.4594,15.1371,CD659 12cm rods,,3543
7/22/19 7:41,671,ZONE 00009,39.10895,-96.61121,12.42,1.2942,1.1656,6.9235,CD659 12cm rods,,3543
7/22/19 7:42,672,ZONE 00009,39.10889,-96.6115,17.54,1.3733,1.2521,9.3498,CD659 12cm rods,,3543
7/22/19 7:43,673,ZONE 00009,39.10936,-96.6117,22.7,1.4468,1.2899,12.0772,CD659 12cm rods,,3543
7/22/19 7:44,674,ZONE 00011,39.10987,-96.6119,31.47,1.5767,1.4792,17.6484,CD659 12cm rods,,3543
7/22/19 7:45,675,ZONE 00011,39.11037,-96.61204,18.05,1.3789,1.2269,9.603201,CD659 12cm rods,,3543
7/22/19 7:46,676,ZONE 00011,39.11088,-96.6122,14.19,1.3179,1.1345,7.732,CD659 12cm rods,,3543
7/22/19 7:48,677,ZONE 00003,39.1114,-96.61241,21.89,1.4355,1.2889,11.627,CD659 12cm rods,,3543
7/22/19 7:48,678,ZONE 00003,39.11174,-96.61256,11.05,1.2682,1.1026,6.3136,CD659 12cm rods,,3543
7/22/19 7:50,679,"ZONE 00003, ZONE 00004",39.11166,-96.61288,19.67,1.4038,1.2698,10.4365,CD659 12cm rods,,3543
7/22/19 7:51,680,"ZONE 00003, ZONE 00004",39.11106,-96.61263,23.92,1.4648,1.3186,12.7738,CD659 12cm rods,,3543
7/22/19 7:52,681,ZONE 00011,39.1105,-96.61243,16.14,1.3496,1.1866,8.658701,CD659 12cm rods,,3543
7/22/19 7:54,682,"ZONE 00010, ZONE 00011",39.10996,-96.61224,31.86,1.5835,1.5206,17.9359,CD659 12cm rods,,3543
7/22/19 7:55,683,"ZONE 00009, ZONE 00010",39.10944,-96.61203,31.53,1.5779,1.4893,17.6926,CD659 12cm rods,,3543
7/22/19 7:56,684,"ZONE 00008, ZONE 00009",39.10884,-96.61179,23.04,1.4569,1.4176,12.2668,CD659 12cm rods,,3543
7/22/19 7:57,685,"ZONE 00008, ZONE 00009",39.10877,-96.61217,21.48,1.4298,1.29,11.4019,CD659 12cm rods,,3543
7/22/19 7:59,686,"ZONE 00008, ZONE 00009, ZONE 00010",39.10926,-96.61238,17.18,1.3654,1.2031,9.1694,CD659 12cm rods,,3543
7/22/19 8:00,687,ZONE 00010,39.10976,-96.61259,16.97,1.362,1.1973,9.063001,CD659 12cm rods,,3543
7/22/19 8:01,688,ZONE 00010,39.11023,-96.61282,27.38,1.5157,1.3931,14.8727,CD659 12cm rods,,3543
7/22/19 8:03,689,ZONE 00004,39.11065,-96.61292,24.17,1.4705,1.3752,12.9201,CD659 12cm rods,,3543
7/22/19 8:04,690,ZONE 00004,39.11118,-96.61313,23.47,1.4592,1.3333,12.5161,CD659 12cm rods,,3543
7/22/19 8:06,691,ZONE 00004,39.11172,-96.61343,24,1.466,1.3192,12.8199,CD659 12cm rods,,3543
