"Dataset that combines stations from the National Soil Moistuer Network, National Ecological Observatory Network, AmeriFlux Network, and the INternational Soil Moisture Network for the USA.",,,,
station,network,latitude,longitude,source
Attawapiskat River Bog,AmeriFlux,52.695,-83.9452,AMERIFLUX
Attawapiskat River Fen,AmeriFlux,52.7008,-83.955,AMERIFLUX
British Columbia - 1949 Douglas-fir stand,AmeriFlux,49.8673,-125.3336,AMERIFLUX
British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),AmeriFlux,49.8705,-125.2909,AMERIFLUX
British Columbia - Pole sapling Douglas-fir stand,AmeriFlux,49.5346,-124.9004,AMERIFLUX
"Ontario - Mixed Deciduous, Borden Forest Site",AmeriFlux,44.3167,-79.9333,AMERIFLUX
"Ontario - Groundhog River, Boreal Mixedwood Forest",AmeriFlux,48.2167,-82.1556,AMERIFLUX
Alberta - Mixed Grass Prairie,AmeriFlux,49.7093,-112.9402,AMERIFLUX
New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest),AmeriFlux,46.4722,-67.1,AMERIFLUX
"Saskatchewan - Western Boreal, Mature Aspen",AmeriFlux,53.6289,-106.1978,AMERIFLUX
"Saskatchewan - Western Boreal, Mature Black Spruce",AmeriFlux,53.9872,-105.1178,AMERIFLUX
"Saskatchewan - Western Boreal, Mature Jack Pine",AmeriFlux,53.9163,-104.692,AMERIFLUX
Quebec - 1975 Harvested Black Spruce (HBS75),AmeriFlux,49.7598,-74.5711,AMERIFLUX
"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover",AmeriFlux,49.2671,-74.0365,AMERIFLUX
"Quebec - Eastern Boreal, Mature Black Spruce",AmeriFlux,49.6925,-74.3421,AMERIFLUX
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994",AmeriFlux,53.908,-104.656,AMERIFLUX
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",AmeriFlux,53.945,-104.649,AMERIFLUX
"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",AmeriFlux,53.8758,-104.6453,AMERIFLUX
Ontario - Turkey Point 2002 Plantation White Pine,AmeriFlux,42.6609,-80.5595,AMERIFLUX
Ontario - Turkey Point 1974 Plantation White Pine,AmeriFlux,42.7068,-80.3483,AMERIFLUX
Ontario - Turkey Point 1939 Plantation White Pine,AmeriFlux,42.7102,-80.3574,AMERIFLUX
Ontario - Turkey Point Mature Deciduous,AmeriFlux,42.6353,-80.5577,AMERIFLUX
"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",AmeriFlux,54.9538,-112.467,AMERIFLUX
El Mogor,AmeriFlux,32.0298,-116.6045,AMERIFLUX
La Paz,AmeriFlux,24.1292,-110.438,AMERIFLUX
Amargosa Desert Research Site (ADRS),AmeriFlux,36.7653,-116.6933,AMERIFLUX
ARM Southern Great Plains site- Lamont,AmeriFlux,36.6058,-97.4888,AMERIFLUX
Audubon Research Ranch,AmeriFlux,31.5907,-110.5104,AMERIFLUX
Bartlett Experimental Forest,AmeriFlux,44.0646,-71.2881,AMERIFLUX
Bouldin Island Alfalfa,AmeriFlux,38.0992,-121.4993,AMERIFLUX
Bouldin Island corn,AmeriFlux,38.1091,-121.5351,AMERIFLUX
Brookings,AmeriFlux,44.3453,-96.8362,AMERIFLUX
Bondville,AmeriFlux,40.0062,-88.2904,AMERIFLUX
Brooks Field Site 10- Ames,AmeriFlux,41.9749,-93.6906,AMERIFLUX
Brooks Field Site 11- Ames,AmeriFlux,41.9747,-93.6936,AMERIFLUX
Canaan Valley,AmeriFlux,39.0633,-79.4208,AMERIFLUX
Cedar Mesa,AmeriFlux,37.5241,-109.7471,AMERIFLUX
CAF-LTAR Cook East,AmeriFlux,46.7815,-117.0821,AMERIFLUX
CAF-LTAR Cook West,AmeriFlux,46.784,-117.0908,AMERIFLUX
CAF-LTAR Boyd North,AmeriFlux,46.7551,-117.1261,AMERIFLUX
CAF-LTAR Boyd South,AmeriFlux,46.7518,-117.1285,AMERIFLUX
Concord Grazed Grassland,AmeriFlux,37.938,-121.9761,AMERIFLUX
Chestnut Ridge,AmeriFlux,35.9311,-84.3324,AMERIFLUX
Charleston Mesquite Woodland,AmeriFlux,31.6637,-110.1777,AMERIFLUX
Chimney Park,AmeriFlux,41.068,-106.1187,AMERIFLUX
Tri county school Pine Forest,AmeriFlux,44.1467,-89.5002,AMERIFLUX
Central Sands Irrigated Agricultural Field,AmeriFlux,44.1095,-89.5377,AMERIFLUX
Crossett Experimental Forest,AmeriFlux,33.0442,-91.9204,AMERIFLUX
"Sierra Critical Zone, Sierra Transect, Ponderosa Pine Forest, Soaproot Saddle",AmeriFlux,37.0311,-119.2566,AMERIFLUX
"Sierra Critical Zone, Sierra Transect, Sierran Mixed Conifer, P301",AmeriFlux,37.0674,-119.1951,AMERIFLUX
"US Dairy Forage Research Center, Prairie du Sac",AmeriFlux,43.3448,-89.7117,AMERIFLUX
Dairy Forage Research Center - Kernza,AmeriFlux,43.3453,-89.7154,AMERIFLUX
Staten Rice 1,AmeriFlux,38.1235,-121.549,AMERIFLUX
Everglades (long hydroperiod marsh),AmeriFlux,25.5519,-80.7826,AMERIFLUX
Everglades (short hydroperiod marsh),AmeriFlux,25.4379,-80.5946,AMERIFLUX
Fort Peck,AmeriFlux,48.3077,-105.1019,AMERIFLUX
Freeman Ranch- Woodland,AmeriFlux,29.94,-97.99,AMERIFLUX
GLEES,AmeriFlux,41.3665,-106.2399,AMERIFLUX
Harvard Forest EMS Tower (HFR1),AmeriFlux,42.5378,-72.1715,AMERIFLUX
Hobcaw Barony Mature Longleaf Pine,AmeriFlux,33.3242,-79.244,AMERIFLUX
Hobcaw Barony Longleaf Pine Restoration,AmeriFlux,33.3482,-79.2322,AMERIFLUX
Hubbard Brook Experimental Forest,AmeriFlux,43.9397,-71.7181,AMERIFLUX
Hanford 100H grassland,AmeriFlux,46.6889,-119.4641,AMERIFLUX
Howland Forest (main tower),AmeriFlux,45.2041,-68.7402,AMERIFLUX
