RecordNum,Date Time(UTC),P4_mb,P1_mb,T1_C,RH1,T_CS215,RH_CS215,Vbat,N1Cts,N1ET_sec,N1T_C,N1RH
1, 2020/04/10 16:34:00,984.21,984.6,10.9,17.1,7.7,32.7,14.453,2053,3494,12.8,0
2, 2020/04/10 17:34:00,982.98,983.3,12.3,14.7,8.9,29,14.003,2198,3600,14.8,0
3, 2020/04/10 18:34:00,981.5,981.9,13.5,13.1,10.8,28.9,13.995,2162,3600,15.7,0
4, 2020/04/10 19:34:00,979.95,980.5,13.8,12.1,11.3,28.1,13.959,2177,3600,16,0
5, 2020/04/10 20:34:00,978.16,978.7,15.5,11.4,13.5,24.9,13.906,2212,3600,17.5,0
6, 2020/04/10 21:34:00,976.37,976.8,16.3,13.9,14.2,25.2,13.907,2241,3600,18.4,0
7, 2020/04/10 22:34:00,974.79,975.3,17.4,14,16,25,13.845,2220,3600,19.5,0
8, 2020/04/10 23:34:00,974.24,974.8,17.9,12.7,15.9,25.9,13.251,2356,3600,20.3,0
9, 2020/04/11 00:34:00,973.43,974,17.5,11.9,16.3,28,12.879,2242,3600,20.3,0
10, 2020/04/11 01:34:00,972.98,973.3,15.7,11.4,11.3,40,12.819,2203,3600,19,0
11, 2020/04/11 02:34:00,973.03,973.4,12.7,11.3,12.1,38.2,12.781,2193,3600,16.5,0
12, 2020/04/11 03:34:00,972.82,973.3,12.6,10.9,11.5,38.3,12.756,2255,3600,15.9,0
13, 2020/04/11 04:34:00,972.22,972.6,12.1,10.6,11.1,39.1,12.731,2304,3600,15.2,0
14, 2020/04/11 05:34:00,971.64,972.1,11.8,10.4,10.7,40.2,12.703,2327,3600,14.8,0
15, 2020/04/11 06:34:00,971.19,971.6,11.9,10.2,11.2,40.3,12.675,2385,3600,14.7,0
16, 2020/04/11 07:34:00,970.62,971.1,12.7,10.1,11.9,39.3,12.649,2358,3600,15.4,0
17, 2020/04/11 08:34:00,969.69,970.3,13.3,10,12.2,41.7,12.63,2255,3600,15.9,0
