climate_class,city,state,year,BD-14,BD-18,BD-22,BD-26,BD-31,BD-35,BD-39,BD-43,BD-47,BD-51,BD-55,BD-60,BD-64,BD-68,BD-72,yield
semi-arid,Akron,CO,1986,0.642,0.707,0.468,0.279,0.285,0.134,0.249,0.225,0.082,0.039,0.031,0.024,0.033,0.068,0.042,2952
semi-arid,Byers,CO,1989,0.461,0.486,0.5,0.33,0.13,0.062,0.025,0.092,0.039,0.044,0.031,0.01,0.003,0.007,0.002,1715
semi-arid,Lamar,CO,1992,0.796,0.675,0.582,0.395,0.278,0.163,0.155,0.159,0.111,0.157,0.08,0.028,0.034,0.086,0.096,3437
semi-arid,Sedgwick,CO,1996,0.775,0.821,0.761,0.523,0.289,0.136,0.059,0.088,0.157,0.201,0.15,0.206,0.126,0.108,0.117,4091
semi-arid,Colby,KS,1999,0.714,0.611,0.66,0.397,0.214,0.177,0.099,0.054,0.031,0.012,0.008,0.004,0.003,0.002,0.001,1619
semi-arid,Dodge City,KS,2003,0.725,0.735,0.802,0.584,0.472,0.266,0.234,0.104,0.048,0.029,0.016,0.027,0.015,0.006,0.002,2385
semi-arid,Elkhart,KS,2006,0.617,0.948,0.793,0.726,0.621,0.593,0.409,0.244,0.123,0.067,0.041,0.028,0.08,0.164,0.108,4472
semi-arid,Garden City,KS,2010,0.427,0.461,0.393,0.268,0.252,0.139,0.069,0.045,0.073,0.05,0.035,0.025,0.01,0.047,0.032,1593
semi-arid,Goodland,KS,2013,0.585,0.659,0.602,0.4,0.276,0.1,0.056,0.138,0.08,0.057,0.177,0.205,0.111,0.067,0.158,3644
semi-arid,Liberal,KS,1987,0.653,0.682,0.771,0.686,0.469,0.364,0.398,0.314,0.193,0.094,0.043,0.018,0.013,0.07,0.068,3739
semi-arid,Ness City,KS,1990,0.685,0.717,0.715,0.525,0.244,0.257,0.189,0.107,0.061,0.046,0.066,0.235,0.264,0.204,0.207,3611
semi-arid,Oakley,KS,1994,0.722,0.81,0.894,0.73,0.755,0.727,0.954,0.855,0.698,0.367,0.218,0.168,0.101,0.129,0.095,5252
semi-arid,St. John,KS,1997,0.991,0.903,0.734,0.574,0.468,0.404,0.303,0.236,0.189,0.141,0.103,0.088,0.066,0.048,0.039,3341
semi-arid,Tribune,KS,2000,0.571,0.716,0.633,0.471,0.326,0.204,0.114,0.174,0.079,0.05,0.052,0.031,0.015,0.006,0.03,2510
