"2023 Tribune, Kansas Dryland Winter Wheat Performance Test, Greeley Countym (K-State trial)",,
brand,name,yield_bu_ac
LIMAGRAIN,LCH19DH-152-6,50.7
POLANSKY,ROCKSTAR,45.2
KWA,KS WESTERN STAR,44.5
AGSECO,TAM 114,44.4
KWA,KS BIG BOW,44.3
KWA,KS BILL SNYDER,42.8
KWA,KS MAKO,39.5
AGRIPRO,AP BIGFOOT,39.4
KWA,KS TERRITORY,37.6
PLAINSGOLD,CRESCENT AX,37
POLANSKY,HIGH COUNTRY,36.3
AGRIPRO,AP18 AX,36
WESTBRED,WB4422,35.2
KWA,KS DALLAS,33.9
MERIDIAN,MS MAVERICK,33.7
LIMAGRAIN,LCS ATOMIC AX,33.1
AGRIPRO,SY WOLVERINE,32.6
WESTBRED,WB4595,32.4
KWA,KS PROVIDENCE,31.7
PLAINSGOLD,LANGIN,31.7
AGSECO,AG GOLDEN,30.7
KWA,KS HAMILTON,30.1
KWA,TATANKA,29.9
LIMAGRAIN,LCS JULEP,29.8
LIMAGRAIN,LCS HELIX AX,29.6
LIMAGRAIN,LCS GALLOWAY AX,29.3
PLAINSGOLD,CANVAS,29.1
PLAINSGOLD,GUARDIAN,28.8
PLAINSGOLD,WHISTLER,25.7
PLAINSGOLD,KIVARI AX,25.4
LIMAGRAIN,LCS STEEL AX,24.9
WESTBRED,WB4792,24.7
OGI,BREAKTHROUGH,24.5
