country,year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Argentina,area,4420900,3744700,5676000,6135400,4601200,5213600,5811600,5837200,5191300,3700800,4294640,4965100,3957900,4233000,5270600,6794900,4153000,4868600,4911800,5113400,5972300,7364200,7123800,5929800,5404300,4914100,4828900,4686620,5307270,5817300,4584550,4295200,4811300,5262580,4932950,7182040,5783030,5471860,6222980,6475700,6887970,6089630,5782070,6123570,5028140,5589230,5831680,4334780,3325460,4373440,4494280
Argentina,production,5725000,5700000,8940000,11260000,6079000,6247000,7320000,5740000,7020000,4920000,5440000,7900000,6560000,5970000,8570000,11582000,5653100,8469400,8317800,7974700,8369600,15097700,13111400,13678600,8742800,8756500,9101200,8596900,10055700,11036600,9998500,9995900,9736500,11406500,9542320,16106700,15086800,12600600,15478700,16146600,15427800,12399000,14710200,16139200,12722000,14662900,16486500,8508160,9016370,15875700,16354100
Argentina,yield,12950,15222,15751,18353,13212,11982,12596,9833,13523,13294,12667,15911,16574,14103,16260,17045,13612,17396,16934,15596,14014,20501,18405,23068,16177,17819,18847,18344,18947,18972,21809,23272,20237,21675,19344,22426,26088,23028,24873,24934,22398,20361,25441,26356,25302,26234,28271,19628,27113,36300,36389
Australia,area,5958110,6664680,6666680,7251500,7087980,8426760,9081640,10845300,9485960,6478420,7137850,7604080,8948260,8307540,8555200,8956260,9954870,10248900,11152700,11283100,11885000,11519700,12930600,12078000,11682000,11135000,9005000,8826820,9003870,9218090,7183000,8274610,8383000,7890690,9220820,10936000,10441000,11543000,12338000,12141000,11529000,11170000,13067000,13399400,12456000,11797900,12578300,13530200,13788000,13507000,13501800
Australia,production,6727190,8352910,8924460,10037000,7067060,12699300,7546690,14804100,10546200,7889920,8606000,6590000,11987000,11357000,11982000,11800000,9370340,18090000,16188000,10856000,16360000,8875570,22016000,18666000,15999000,16119000,12287000,13935000,14214500,15066100,10557400,14738700,16479000,8961000,16504000,23702000,19224000,22108000,24757000,22108000,24299000,10132000,26132000,21905100,25173000,10821600,13569400,21420200,21656000,22138000,27410100
Australia,yield,11291,12533,13387,13841,9970,15070,8310,13650,11118,12179,12057,8666,13396,13671,14006,13175,9413,17651,14515,9621,13765,7705,17026,15455,13695,14476,13645,15787,15787,16344,14698,17812,19658,11356,17899,21673,18412,19153,20066,18209,21076,9071,19998,16348,20210,9172,10788,15831,15706,16390,20301
Canada,area,10245000,10853000,11156000,12018000,11453000,12016000,12189300,11907900,10101400,5051780,7853500,8639800,9575010,8938000,9478740,11251700,10115400,10575100,10523100,11208400,12426600,12521000,13680500,13160900,13729000,14229400,13457700,12944300,13717500,14097500,14160900,13830300,12374000,10773000,11122700,12262000,11409900,10679700,10374800,10854800,10605500,8710500,10214500,9388900,9403800,9681800,8636300,10031700,9638200,8268700,8543600
Canada,production,7713000,15393000,19691000,16349000,17674000,22516800,16136900,17689000,18267700,9024250,14412300,14514000,16159200,13303500,17080600,23587200,19858200,21136800,17196000,19292000,24802000,26715000,26465000,21187900,24252000,31378000,25945000,15913000,24796200,32098000,31945600,29877200,27255900,22919500,24989400,29801400,24280300,24082300,26940800,26535500,20630200,15961300,23048600,24795500,25748100,25265400,20054000,28611100,26847600,23166800,25261400
Canada,yield,7529,14183,17651,13604,15432,18739,13239,14855,18084,17864,18351,16799,16876,14884,18020,20963,19632,19987,16341,17212,19959,21336,19345,16099,17665,22052,19279,12293,18076,22769,22559,21603,22027,21275,22467,24304,21280,22550,25968,24446,19452,18324,22565,26409,27381,26096,23221,28521,27855,28017,29568
China,area,25567759,24071363,23764512,25391511,24696119,23908507,25285891,24640716,25141660,25435003,25615036,26276672,26412386,27034304,27634268,28380502,28037558,29184151,29320977,29191137,28279019,27928008,29051138,29577517,29219053,29617134,28799188,28785660,29842159,30754285,30949090,30497202,30236410,28981966,28861315,29611057,30057020,29775127,28855019,26653336,24664068,23908072,21997075,21626074,22792462,22961567,23721070,23617266,24291081,24256086,24270480
