Geometry,X,Y,Crop,TimeStamp,Yield,Flow,Moisture,Duration,Distance,Width,Area
Point,-156.576874417369,-69.6811879882589,Soybeans,2015-10-10 15:07:35,50.51,5.699,13,1,25.1969,468.1102,0.00188
Point,-156.100303161424,-70.0837483294308,Soybeans,2015-10-10 15:07:36,51.41,5.8003,13,1,25.1969,468.1102,0.00188
Point,-155.63204715203,-70.5086519867182,Soybeans,2015-10-10 15:07:37,50.66,5.7151,13,1,25.1969,468.1102,0.00188
Point,-155.198382052942,-70.9452482610941,Soybeans,2015-10-10 15:07:38,54.2,5.8286,13,1,24.0157,468.1102,0.001792
Point,-154.808573010028,-71.3603942710906,Soybeans,2015-10-10 15:07:39,55.86,5.5141,13,1,22.0472,468.1102,0.001645
Point,-154.401183489128,-71.7863398073241,Soybeans,2015-10-10 15:07:40,55.58,5.6829,13,1,22.8346,468.1102,0.001704
Point,-153.950507728732,-72.2004438219592,Soybeans,2015-10-10 15:07:41,60.73,6.5307,13,1,24.0157,468.1102,0.001792
Point,-153.456735693151,-72.5916090635583,Soybeans,2015-10-10 15:07:42,58.56,6.6071,13,1,25.1969,468.1102,0.00188
Point,-152.9028568496,-72.937343319878,Soybeans,2015-10-10 15:07:44,54.75,6.2731,13,1,25.5906,468.1102,0.00191
Point,-152.332157405675,-73.2494880938902,Soybeans,2015-10-10 15:07:44,59.98,6.6609,13,1,24.8031,468.1102,0.001851
Point,-151.701161187724,-73.5272991126403,Soybeans,2015-10-10 15:07:45,53.61,6.6156,13,1,27.5591,468.1102,0.002057
Point,-151.036333854077,-73.7490284312516,Soybeans,2015-10-10 15:07:46,52.55,6.392,13,1,27.1654,468.1102,0.002027
Point,-150.311209755368,-73.9364239703864,Soybeans,2015-10-10 15:07:48,49.3,6.6921,13,1,30.315,468.1102,0.002262
Point,-149.612551279366,-74.1020715162158,Soybeans,2015-10-10 15:07:48,56.36,7.0544,13,1,27.9528,468.1102,0.002086
Point,-148.914272726863,-74.2455245060846,Soybeans,2015-10-10 15:07:49,54.91,6.9695,13,1,28.3465,468.1102,0.002115
Point,-148.216184125864,-74.3778801877052,Soybeans,2015-10-10 15:07:50,54.46,6.9129,13,1,28.3465,468.1102,0.002115
Point,-147.448723583715,-74.4979477003217,Soybeans,2015-10-10 15:07:52,53.39,7.247,13,1,30.315,468.1102,0.002262
Point,-146.681832955568,-74.5847233962268,Soybeans,2015-10-10 15:07:52,58.87,7.6801,13,1,29.1339,468.1102,0.002174
Point,-145.863150853314,-74.6484113680199,Soybeans,2015-10-10 15:07:53,56.12,7.9151,13,1,31.4961,468.1102,0.00235
Point,-145.001372512081,-74.6891604578122,Soybeans,2015-10-10 15:07:54,52.76,7.7198,13,1,32.6772,468.1102,0.002439
Point,-144.131088905968,-74.7186633469537,Soybeans,2015-10-10 15:07:55,55.76,8.453,13,1,33.8583,468.1102,0.002527
Point,-143.235099549289,-74.7255250569433,Soybeans,2015-10-10 15:07:56,56.75,8.8042,13,1,34.6457,468.1102,0.002586
Point,-142.33022496372,-74.7433350523934,Soybeans,2015-10-10 15:07:57,52.45,8.2293,13,1,35.0394,468.1102,0.002615
Point,-141.407959895208,-74.760847216472,Soybeans,2015-10-10 15:07:58,53.38,8.5634,13,1,35.8268,468.1102,0.002674
Point,-140.494390054606,-74.7785081369802,Soybeans,2015-10-10 15:07:59,53.09,8.7032,13,1,36.6142,468.1102,0.002732
Point,-139.554544505081,-74.8068196028471,Soybeans,2015-10-10 15:08:00,52.27,8.3851,13,1,35.8268,468.1102,0.002674
Point,-138.563097494654,-74.8009460093454,Soybeans,2015-10-10 15:08:01,50.36,8.3454,13,1,37.0079,468.1102,0.002762
